taxonKey,scientificName,rank,taxonomicStatus,kingdom,includes
2685484,Abies alba,SPECIES,ACCEPTED,Plantae,2685484: Abies alba Mill.
2685361,Abies grandis,SPECIES,ACCEPTED,Plantae,2685361: Abies grandis (Douglas ex D.Don) Lindl.
2685663,Abies homolepis,SPECIES,ACCEPTED,Plantae,2685663: Abies homolepis Siebold & Zucc. | 2685664: Abies homolepis var. umbellata (Mayr) E.H.Wilson
2685552,Abies nordmanniana,SPECIES,ACCEPTED,Plantae,2685552: Abies nordmanniana (Steven) Spach | 2685553: Abies nordmanniana subsp. equi-trojani (Asch. & Sint. ex Boiss.) Coode & Cullen
5384889,Abronia fragrans,SPECIES,ACCEPTED,Plantae,NA
3152614,Abutilon theophrasti,SPECIES,ACCEPTED,Plantae,3152614: Abutilon theophrasti Medik.
5370829,Acaena caesiiglauca,SPECIES,ACCEPTED,Plantae,5370829: Acaena caesiiglauca (Bitter) Bergmans
5370832,Acaena magellanica,SPECIES,ACCEPTED,Plantae,NA
5370688,Acaena microphylla,SPECIES,ACCEPTED,Plantae,NA
5386764,Acalypha indica,NA,NA,NA,NA
3056384,Acalypha rhomboidea,SPECIES,ACCEPTED,Plantae,NA
2064632,Acanalonia conica,SPECIES,ACCEPTED,Animalia,NA
3100375,Acanthospermum hispidum,SPECIES,ACCEPTED,Plantae,3100375: Acanthospermum hispidum DC.
8116963,Acanthus hungaricus,SPECIES,ACCEPTED,Plantae,8116963: Acanthus hungaricus (Borbás) Baen.
5415455,Acanthus mollis,SPECIES,ACCEPTED,Plantae,5415455: Acanthus mollis L.
5415453,Acanthus spinosus,SPECIES,ACCEPTED,Plantae,5415453: Acanthus spinosus L.
2114446,Acartia tonsa,SPECIES,ACCEPTED,Animalia,"2114446: Acartia tonsa Dana, 1849"
7100404,Acer buergerianum,SPECIES,ACCEPTED,Plantae,NA
7262908,Acer cappadocicum,SPECIES,ACCEPTED,Plantae,7262908: Acer cappadocicum Gled.
7877018,Acer cissifolium,SPECIES,ACCEPTED,Plantae,3768287: Acer cissifolium (Siebold & Zucc.) K.Koch
7262943,Acer davidii,SPECIES,ACCEPTED,Plantae,NA
3767816,Acer japonicum,SPECIES,ACCEPTED,Plantae,3767816: Acer japonicum Thunb.
3189835,Acer macrophyllum,SPECIES,ACCEPTED,Plantae,NA
7262958,Acer monspessulanum,SPECIES,ACCEPTED,Plantae,7262958: Acer monspessulanum L.
3189866,Acer negundo,SPECIES,ACCEPTED,Plantae,3189866: Acer negundo L.
3189882,Acer palmatum,SPECIES,ACCEPTED,Plantae,3189882: Acer palmatum Thunb.
3189836,Acer pensylvanicum,SPECIES,ACCEPTED,Plantae,3189836: Acer pensylvanicum L.
3189883,Acer rubrum,SPECIES,ACCEPTED,Plantae,3189883: Acer rubrum L.
7263145,Acer rufinerve,SPECIES,ACCEPTED,Plantae,7263145: Acer rufinerve Siebold & Zucc.
3189837,Acer saccharinum,SPECIES,ACCEPTED,Plantae,3189837: Acer saccharinum L.
4925890,Acer tataricum,SUBSPECIES,ACCEPTED,Plantae,4925890: Acer tataricum subsp. ginnala (Maxim.) Wesm. | 3189845: Acer ginnala Maxim.
9537212,Acer tataricum,SPECIES,ACCEPTED,Plantae,NA
7226794,Acer tataricum,SPECIES,ACCEPTED,Plantae,NA
2769073,Acer tataricum,SPECIES,ACCEPTED,Plantae,NA
6164210,Acer tataricum,SPECIES,ACCEPTED,Plantae,NA
8991514,Acer tataricum,SPECIES,ACCEPTED,Plantae,NA
4274443,Acer tataricum,SPECIES,ACCEPTED,Plantae,NA
7227181,Acer tataricum,SPECIES,ACCEPTED,Plantae,NA
4274443,Acer tataricum ginnala,NA,NA,NA,NA
2294131,Aceria brachytarsus,SPECIES,ACCEPTED,Animalia,NA
2128502,Aceria erinea,SPECIES,ACCEPTED,Animalia,NA
7606014,Aceria heteronyx,NA,NA,NA,NA
4544661,Aceria ilicis,SPECIES,ACCEPTED,Animalia,NA
4544517,Aceria tristriata,SPECIES,ACCEPTED,Animalia,NA
9776414,Acharia stimulea,SPECIES,ACCEPTED,Animalia,NA
3084949,Achatina achatina,NA,NA,NA,NA
1718308,Acheta domesticus,SPECIES,ACCEPTED,Animalia,"1718308: Acheta domesticus (Linnaeus, 1758)"
3120391,Achillea ageratum,SPECIES,ACCEPTED,Plantae,NA
3120284,Achillea filipendulina,SPECIES,ACCEPTED,Plantae,3120284: Achillea filipendulina Lam.
3120024,Achillea nobilis,SPECIES,ACCEPTED,Plantae,3120024: Achillea nobilis L.
5240299,Achillea salicifolia,NA,NA,NA,NA
3746867,Achillea salicifolia,NA,NA,NA,NA
6156934,Achillea salicifolia,NA,NA,NA,NA
