key	nubKey	nameKey	taxonID	kingdom	phylum	order	family	genus	species	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	datasetKey	parentKey	parent	scientificName	canonicalName	authorship	nameType	rank	origin	taxonomicStatus	nomenclaturalStatus	remarks	numDescendants	references	lastCrawled	lastInterpreted	issues	class
152543140	6157026	16703408	https://www.gbif.org/species/6157026	Animalia	Chordata	NA	Emydidae	Trachemys	NA	213212180	213212182	213213120	NA	213213138	213213142	NA	6d9e952f-948c-4483-9807-575348147c7e	213213142	Trachemys	Trachemys scripta elegans (Wied, 1838)	Trachemys scripta elegans	(Wied, 1838) 	SCIENTIFIC	SUBSPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/pnxu4c, https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/6157026	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:10.599+00:00		Testudines
152543141	7062200	11335588	https://www.gbif.org/species/7062200	Animalia	Chordata	NA	Emydidae	Trachemys	NA	213212180	213212182	213213120	NA	213213138	213213142	NA	6d9e952f-948c-4483-9807-575348147c7e	213213142	Trachemys	Trachemys scripta scripta	Trachemys scripta scripta		SCIENTIFIC	SUBSPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/pnxu4c, https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/7062200	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:10.595+00:00		Testudines
152543142	2537743	6106057	https://www.gbif.org/species/2537743	Fungi	Basidiomycota	Agaricales	Omphalotaceae	Lentinula	Lentinula edodes	213212214	213212216	213212303	213212305	213212324	213212326	152543142	6d9e952f-948c-4483-9807-575348147c7e	213212326	Lentinula	Lentinula edodes (Berk.) Pegler	Lentinula edodes	(Berk.) Pegler	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/2537743	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.942+00:00		Agaricomycetes
152543147	9350124	19125389	https://www.gbif.org/species/9350124	Animalia	Chordata	NA	Colubridae	Natrix	Natrix helvetica	213212180	213212182	213212400	NA	213212437	213212459	152543147	6d9e952f-948c-4483-9807-575348147c7e	213212459	Natrix	Natrix helvetica (Lacépède, 1789)	Natrix helvetica	(Lacépède, 1789) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/pnxu4c, https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/9350124	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:08.359+00:00		Squamata
152543152	2516809	6803255	https://www.gbif.org/species/2516809	Fungi	Basidiomycota	Pucciniales	Pucciniastraceae	Melampsoridium	Melampsoridium betulinum	213212214	213212216	213212239	213212240	213212246	213212247	152543152	6d9e952f-948c-4483-9807-575348147c7e	213212247	Melampsoridium	Melampsoridium betulinum (Pers.) Kleb.	Melampsoridium betulinum	(Pers.) Kleb.	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2516809	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.695+00:00		Pucciniomycetes
152543157	2516419	17255428	https://www.gbif.org/species/2516419	Fungi	Basidiomycota	Pucciniales	Tranzscheliaceae	Tranzschelia	Tranzschelia discolor	213212214	213212216	213212239	213212240	213212250	213212252	152543157	6d9e952f-948c-4483-9807-575348147c7e	213212252	Tranzschelia	Tranzschelia discolor (Fuckel) Tranzschel & M.A.Litv.	Tranzschelia discolor	(Fuckel) Tranzschel & M.A.Litv.	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2516419	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.710+00:00		Pucciniomycetes
152543162	7239373	17247814	https://www.gbif.org/species/7239373	Fungi	Basidiomycota	Pucciniales	Pucciniaceae	Uromyces	Uromyces veratri	213212214	213212216	213212239	213212240	213212255	213212259	152543162	6d9e952f-948c-4483-9807-575348147c7e	213212259	Uromyces	Uromyces veratri (DC.) J.Schröt.	Uromyces veratri	(DC.) J.Schröt.	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/7239373	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.733+00:00		Pucciniomycetes
152543163	6159273	5933353	https://www.gbif.org/species/6159273	Animalia	Chordata	NA	Lacertidae	Lacerta	Lacerta viridis	213212180	213212182	213212400	NA	213212491	213212493	152543163	6d9e952f-948c-4483-9807-575348147c7e	213212493	Lacerta	Lacerta viridis (Laurenti, 1768)	Lacerta viridis	(Laurenti, 1768) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/pnxu4c, https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/6159273	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:08.477+00:00		Squamata
152543166	2516117	4899112	https://www.gbif.org/species/2516117	Fungi	Basidiomycota	Pucciniales	Gymnosporangiaceae	Gymnosporangium	Gymnosporangium confusum	213212214	213212216	213212239	213212240	213212290	213212291	152543166	6d9e952f-948c-4483-9807-575348147c7e	213212291	Gymnosporangium	Gymnosporangium confusum Plowr.	Gymnosporangium confusum	Plowr.	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2516117	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.838+00:00		Pucciniomycetes
152543167	2516137	17232539	https://www.gbif.org/species/2516137	Fungi	Basidiomycota	Pucciniales	Gymnosporangiaceae	Gymnosporangium	Gymnosporangium sabinae	213212214	213212216	213212239	213212240	213212290	213212291	152543167	6d9e952f-948c-4483-9807-575348147c7e	213212291	Gymnosporangium	Gymnosporangium sabinae (Dicks.) G.Winter	Gymnosporangium sabinae	(Dicks.) G.Winter	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2516137	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.834+00:00		Pucciniomycetes
