id,nl
België_title,België
brussels_title,Brussels Hoofdstedelijk Gewest
flanders_title,Vlaanderen
wallonia_title,Wallonië
Namen_title,Namen
Oost-Vlaanderen_title,Oost-Vlaanderen
Waals-Brabant_title,Waals-Brabant
Limburg_title,Limburg
Henegouwen_title,Henegouwen
Luxemburg_title,Luxemburg
Antwerpen_title,Antwerpen
Luik_title,Luik
HoofdstedelijkGewest_title,Hoofdstedelijk Gewest
Vlaams-Brabant_title,Vlaams-Brabant
West-Vlaanderen_title,West-Vlaanderen
Aartselaar_title,Aartselaar
Boechout_title,Boechout
Boom_title,Boom
Borsbeek_title,Borsbeek
Brasschaat_title,Brasschaat
Brecht_title,Brecht
Edegem_title,Edegem
Essen_title,Essen
Hemiksem_title,Hemiksem
Hove_title,Hove
Kalmthout_title,Kalmthout
Kapellen_title,Kapellen
Kontich_title,Kontich
Lint_title,Lint
Mortsel_title,Mortsel
Niel_title,Niel
Ranst_title,Ranst
Rumst_title,Rumst
Schelle_title,Schelle
Schilde_title,Schilde
Schoten_title,Schoten
Stabroek_title,Stabroek
Wijnegem_title,Wijnegem
Wommelgem_title,Wommelgem
Wuustwezel_title,Wuustwezel
Zandhoven_title,Zandhoven
Zoersel_title,Zoersel
Zwijndrecht_title,Zwijndrecht
Malle_title,Malle
Berlaar_title,Berlaar
Bonheiden_title,Bonheiden
Bornem_title,Bornem
Duffel_title,Duffel
Heist-Op-Den-Berg_title,Heist-Op-Den-Berg
Lier_title,Lier
Mechelen_title,Mechelen
Nijlen_title,Nijlen
Putte_title,Putte
Puurs_title,Puurs
Sint-Amands_title,Sint-Amands
Sint-Katelijne-Waver_title,Sint-Katelijne-Waver
Willebroek_title,Willebroek
Arendonk_title,Arendonk
Baarle-Hertog_title,Baarle-Hertog
Balen_title,Balen
Beerse_title,Beerse
Dessel_title,Dessel
Geel_title,Geel
Grobbendonk_title,Grobbendonk
Herentals_title,Herentals
Herenthout_title,Herenthout
Herselt_title,Herselt
Hoogstraten_title,Hoogstraten
Hulshout_title,Hulshout
Kasterlee_title,Kasterlee
Lille_title,Lille
Meerhout_title,Meerhout
Merksplas_title,Merksplas
Mol_title,Mol
Olen_title,Olen
Oud-Turnhout_title,Oud-Turnhout
Ravels_title,Ravels
Retie_title,Retie
Rijkevorsel_title,Rijkevorsel
Turnhout_title,Turnhout
Vorselaar_title,Vorselaar
Vosselaar_title,Vosselaar
Westerlo_title,Westerlo
Laakdal_title,Laakdal
Anderlecht_title,Anderlecht
Oudergem_title,Oudergem
Sint-Agatha-Berchem_title,Sint-Agatha-Berchem
Brussel_title,Brussel
Etterbeek_title,Etterbeek
Evere_title,Evere
Vorst_title,Vorst
Ganshoren_title,Ganshoren
Elsene_title,Elsene
Jette_title,Jette
Koekelberg_title,Koekelberg
Sint-Jans-Molenbeek_title,Sint-Jans-Molenbeek
Sint-Gillis_title,Sint-Gillis
Sint-Joost-Ten-Node_title,Sint-Joost-Ten-Node
Schaarbeek_title,Schaarbeek
Ukkel_title,Ukkel
Watermaal-Bosvoorde_title,Watermaal-Bosvoorde
Sint-Lambrechts-Woluwe_title,Sint-Lambrechts-Woluwe
Sint-Pieters-Woluwe_title,Sint-Pieters-Woluwe
Asse_title,Asse
Beersel_title,Beersel
Bever_title,Bever
Dilbeek_title,Dilbeek
Galmaarden_title,Galmaarden
Gooik_title,Gooik
Grimbergen_title,Grimbergen
Hal_title,Hal
Herne_title,Herne
Hoeilaart_title,Hoeilaart
Kampenhout_title,Kampenhout
Kapelle-Op-Den-Bos_title,Kapelle-Op-Den-Bos
Liedekerke_title,Liedekerke
Londerzeel_title,Londerzeel
Machelen_title,Machelen
Meise_title,Meise
Merchtem_title,Merchtem
Opwijk_title,Opwijk
Overijse_title,Overijse
Pepingen_title,Pepingen
Sint-Pieters-Leeuw_title,Sint-Pieters-Leeuw
Steenokkerzeel_title,Steenokkerzeel
Ternat_title,Ternat
Vilvoorde_title,Vilvoorde
Zaventem_title,Zaventem
Zemst_title,Zemst
Roosdaal_title,Roosdaal
Drogenbos_title,Drogenbos
Kraainem_title,Kraainem
Linkebeek_title,Linkebeek
Sint-Genesius-Rode_title,Sint-Genesius-Rode
Wemmel_title,Wemmel
Wezembeek-Oppem_title,Wezembeek-Oppem
Lennik_title,Lennik
Affligem_title,Affligem
Aarschot_title,Aarschot
Begijnendijk_title,Begijnendijk
Bekkevoort_title,Bekkevoort
Bertem_title,Bertem
Bierbeek_title,Bierbeek
