id,en
België_title,Belgium
brussels_title,Brussels-Capital Region
flanders_title,Flanders
wallonia_title,Wallonia
Namen_title,Namur
Oost-Vlaanderen_title,East Flanders
Waals-Brabant_title,Walloon Brabant
Limburg_title,NA
Henegouwen_title,Hainaut
Luxemburg_title,Luxembourg
Antwerpen_title,Antwerp
Luik_title,Liège
HoofdstedelijkGewest_title,Capital Region
Vlaams-Brabant_title,Flemish Brabant
West-Vlaanderen_title,West Flanders
Aartselaar_title,NA
Boechout_title,NA
Boom_title,NA
Borsbeek_title,NA
Brasschaat_title,NA
Brecht_title,NA
Edegem_title,NA
Essen_title,NA
Hemiksem_title,NA
Hove_title,NA
Kalmthout_title,NA
Kapellen_title,NA
Kontich_title,NA
Lint_title,NA
Mortsel_title,NA
Niel_title,NA
Ranst_title,NA
Rumst_title,NA
Schelle_title,NA
Schilde_title,NA
Schoten_title,NA
Stabroek_title,NA
Wijnegem_title,NA
Wommelgem_title,NA
Wuustwezel_title,NA
Zandhoven_title,NA
Zoersel_title,NA
Zwijndrecht_title,NA
Malle_title,NA
Berlaar_title,NA
Bonheiden_title,NA
Bornem_title,NA
Duffel_title,NA
Heist-Op-Den-Berg_title,NA
Lier_title,NA
Mechelen_title,NA
Nijlen_title,NA
Putte_title,NA
Puurs_title,NA
Sint-Amands_title,NA
Sint-Katelijne-Waver_title,NA
Willebroek_title,NA
Arendonk_title,NA
Baarle-Hertog_title,NA
Balen_title,NA
Beerse_title,NA
Dessel_title,NA
Geel_title,NA
Grobbendonk_title,NA
Herentals_title,NA
Herenthout_title,NA
Herselt_title,NA
Hoogstraten_title,NA
Hulshout_title,NA
Kasterlee_title,NA
Lille_title,NA
Meerhout_title,NA
Merksplas_title,NA
Mol_title,NA
Olen_title,NA
Oud-Turnhout_title,NA
Ravels_title,NA
Retie_title,NA
Rijkevorsel_title,NA
Turnhout_title,NA
Vorselaar_title,NA
Vosselaar_title,NA
Westerlo_title,NA
Laakdal_title,NA
Anderlecht_title,NA
Oudergem_title,NA
Sint-Agatha-Berchem_title,NA
Brussel_title,Brussels
Etterbeek_title,NA
Evere_title,NA
Vorst_title,NA
Ganshoren_title,NA
Elsene_title,NA
Jette_title,NA
Koekelberg_title,NA
Sint-Jans-Molenbeek_title,NA
Sint-Gillis_title,NA
Sint-Joost-Ten-Node_title,NA
Schaarbeek_title,NA
Ukkel_title,NA
Watermaal-Bosvoorde_title,NA
Sint-Lambrechts-Woluwe_title,NA
Sint-Pieters-Woluwe_title,NA
Asse_title,NA
Beersel_title,NA
Bever_title,NA
Dilbeek_title,NA
Galmaarden_title,NA
Gooik_title,NA
Grimbergen_title,NA
Hal_title,NA
Herne_title,NA
Hoeilaart_title,NA
Kampenhout_title,NA
Kapelle-Op-Den-Bos_title,NA
Liedekerke_title,NA
Londerzeel_title,NA
Machelen_title,NA
Meise_title,NA
Merchtem_title,NA
Opwijk_title,NA
Overijse_title,NA
Pepingen_title,NA
Sint-Pieters-Leeuw_title,NA
Steenokkerzeel_title,NA
Ternat_title,NA
Vilvoorde_title,NA
Zaventem_title,NA
Zemst_title,NA
Roosdaal_title,NA
Drogenbos_title,NA
Kraainem_title,NA
Linkebeek_title,NA
Sint-Genesius-Rode_title,NA
Wemmel_title,NA
Wezembeek-Oppem_title,NA
Lennik_title,NA
Affligem_title,NA
Aarschot_title,NA
Begijnendijk_title,NA
Bekkevoort_title,NA
Bertem_title,NA
Bierbeek_title,NA
Boortmeerbeek_title,NA
Boutersem_title,NA
Diest_title,NA
Geetbets_title,NA
Haacht_title,NA
Herent_title,NA
Hoegaarden_title,NA
Holsbeek_title,NA
Huldenberg_title,NA
Keerbergen_title,NA
Kortenaken_title,NA
Kortenberg_title,NA
Landen_title,NA
Leuven_title,NA
Lubbeek_title,NA
Oud-Heverlee_title,NA
Rotselaar_title,NA
Tervuren_title,NA
Tienen_title,NA
Tremelo_title,NA
Zoutleeuw_title,NA
Linter_title,NA
Scherpenheuvel-Zichem_title,NA
Tielt-Winge_title,NA
Glabbeek_title,NA
Bevekom_title,NA
Eigenbrakel_title,NA
Kasteelbrakel_title,NA
Chaumont-Gistoux_title,NA
Court-Saint-Etienne_title,NA
Genepien_title,NA
Graven_title,NA
Incourt_title,NA
Itter_title,NA
Geldenaken_title,NA
Terhulpen_title,NA
Mont-Saint-Guibert_title,NA
Nijvel_title,NA
Perwijs_title,NA
Rixensart_title,NA
Tubeke_title,NA
Villers-La-Ville_title,NA
Waterloo_title,NA
Waver_title,NA
Chastre_title,NA
Helecine_title,NA
Lasne_title,NA
Orp-Jauche_title,NA
Ottignies-Louvain-La-Neu_title,NA
Ramillies_title,NA
Rebecq_title,NA
Walhain_title,NA
Beernem_title,NA
Blankenberge_title,NA
Brugge_title,Bruges
Damme_title,NA
Jabbeke_title,NA
Oostkamp_title,NA
Torhout_title,NA
Zedelgem_title,NA
Zuienkerke_title,NA
Knokke-Heist_title,NA
Diksmuide_title,NA
Houthulst_title,NA
Koekelare_title,NA
Kortemark_title,NA
Lo-Reninge_title,NA
Ieper_title,Ypres
Mesen_title,NA
Poperinge_title,NA
Wervik_title,NA
Zonnebeke_title,NA
Heuvelland_title,NA
Langemark-Poelkapelle_title,NA
Vleteren_title,NA
Anzegem_title,NA
Avelgem_title,NA
Deerlijk_title,NA
Harelbeke_title,NA
Kortrijk_title,NA
Kuurne_title,NA
Lendelede_title,NA
Menen_title,NA
Waregem_title,NA
Wevelgem_title,NA
Zwevegem_title,NA
Spiere-Helkijn_title,NA
Bredene_title,NA
Gistel_title,NA
Ichtegem_title,NA
Middelkerke_title,NA
Oostende_title,Ostend
Oudenburg_title,NA
De Haan_title,NA
Hooglede_title,NA
Ingelmunster_title,NA
Izegem_title,NA
Ledegem_title,NA
Lichtervelde_title,NA
Moorslede_title,NA
Roeselare_title,NA
Staden_title,NA
Dentergem_title,NA
Meulebeke_title,NA
Oostrozebeke_title,NA
Pittem_title,NA
Ruiselede_title,NA
Tielt_title,NA
Wielsbeke_title,NA
Wingene_title,NA
Ardooie_title,NA
Alveringem_title,NA
De Panne_title,NA
Koksijde_title,NA
Nieuwpoort_title,NA
Veurne_title,NA
Aalst_title,NA
Denderleeuw_title,NA
Geraardsbergen_title,NA
