checklist_scientificName,english_name,checklist_kingdom,backbone_taxonKey,backbone_taxonomicStatus
Lampropeltis getula,common kingsnake,Animalia,9799308,ACCEPTED
Triadica spec.,Chinese tallow,Plantae,3054399,ACCEPTED
