taxonKey	canonicalName	first_observed	last_observed	class	kingdom	scientificName	rank	taxonomicStatus	kingdomKey	classKey	authorship
7505045	Soliva anthemifolia	1893	1904	Magnoliopsida	Plantae	Soliva anthemifolia	SPECIES	ACCEPTED	6	220	R.Br.
5403742	Scolymus hispanicus	1907	1907	Magnoliopsida	Plantae	Scolymus hispanicus	SPECIES	ACCEPTED	6	220	L.
5393689	Asteriscus aquaticus	1911	1911	Magnoliopsida	Plantae	Asteriscus aquaticus	SPECIES	ACCEPTED	6	220	(L.) Less.
7706146	Crepis nicaeensis	1860	1942	Magnoliopsida	Plantae	Crepis nicaeensis	SPECIES	DOUBTFUL	6	220	Balb.
3148548	Anacyclus valentinus	1913	1932	Magnoliopsida	Plantae	Anacyclus valentinus	SPECIES	ACCEPTED	6	220	L.
3141046	Centromadia pungens	1922	1922	Magnoliopsida	Plantae	Centromadia pungens	SPECIES	ACCEPTED	6	220	(Hook. & Arn.) Greene
8195160	Artemisia pontica	1850	1949	Magnoliopsida	Plantae	Artemisia pontica	SPECIES	ACCEPTED	6	220	L.
3098176	Calotis hispidula	1898	1949	Magnoliopsida	Plantae	Calotis hispidula	SPECIES	ACCEPTED	6	220	(F.Muell.) F.Muell.
3037015	Aralia cordata	1915	1948	Magnoliopsida	Plantae	Aralia cordata	SPECIES	ACCEPTED	6	220	Thunb.
6027313	Daucus glochidiatus	1892	1949	Magnoliopsida	Plantae	Daucus glochidiatus	SPECIES	ACCEPTED	6	220	(Labill.) Fisch., C.A.Mey. & Avé-Lall.
7334263	Crassula decumbens	1904	1920	Magnoliopsida	Plantae	Crassula decumbens	SPECIES	ACCEPTED	6	220	Thunb.
7272312	Filipendula camtschatica	1948	1948	Magnoliopsida	Plantae	Filipendula camtschatica	SPECIES	ACCEPTED	6	220	(Pall.) Maxim.
2932501	Solanum pygmaeum	1902	1915	Magnoliopsida	Plantae	Solanum pygmaeum	SPECIES	ACCEPTED	6	220	Cav.
5356407	Lathyrus clymenum	1891	1913	Magnoliopsida	Plantae	Lathyrus clymenum	SPECIES	ACCEPTED	6	220	L.
5356614	Lathyrus inconspicuus	1894	1946	Magnoliopsida	Plantae	Lathyrus inconspicuus	SPECIES	ACCEPTED	6	220	L.
5356680	Lathyrus sphaericus	1856	1927	Magnoliopsida	Plantae	Lathyrus sphaericus	SPECIES	ACCEPTED	6	220	Retz.
5360417	Trigonella stellata	1911	1911	Magnoliopsida	Plantae	Trigonella stellata	SPECIES	ACCEPTED	6	220	Forssk.
2975393	Vicia sicula	1920	1920	Magnoliopsida	Plantae	Vicia sicula	SPECIES	ACCEPTED	6	220	(Raf.) Guss.
2965459	Medicago doliata	1894	1940	Magnoliopsida	Plantae	Medicago doliata	SPECIES	ACCEPTED	6	220	Carmign.
2965233	Medicago fischeriana	1902	1904	Magnoliopsida	Plantae	Medicago fischeriana	SPECIES	ACCEPTED	6	220	(Ser.) Trautv.
6366597	Gentiana acaulis	1844	1911	Magnoliopsida	Plantae	Gentiana acaulis	SPECIES	ACCEPTED	6	220	L.
5374998	Arabis collina	1850	1949	Magnoliopsida	Plantae	Arabis collina	SPECIES	ACCEPTED	6	220	Ten.
5376785	Lepidium fasciculatum	1889	1901	Magnoliopsida	Plantae	Lepidium fasciculatum	SPECIES	ACCEPTED	6	220	Thell.
3042399	Camelina alyssum	1813	1946	Magnoliopsida	Plantae	Camelina alyssum	SPECIES	ACCEPTED	6	220	(Mill.) Thell.
3042439	Camelina rumelica	1893	1912	Magnoliopsida	Plantae	Camelina rumelica	SPECIES	ACCEPTED	6	220	Velen.
3045042	Alyssum simplex	1850	1924	Magnoliopsida	Plantae	Alyssum simplex	SPECIES	ACCEPTED	6	220	Rudolphi
2925879	Amsinckia eastwoodiae	1924	1924	Magnoliopsida	Plantae	Amsinckia eastwoodiae	SPECIES	ACCEPTED	6	220	J.F.Macbr.
3741432	Verbascum banaticum	1908	1908	Magnoliopsida	Plantae	Verbascum banaticum	SPECIES	ACCEPTED	6	220	Schrad.
7303024	Plantago myosuros	1895	1948	Magnoliopsida	Plantae	Plantago myosuros	SPECIES	ACCEPTED	6	220	Lam.
7308043	Lamium garganicum garganicum	1906	1920	Magnoliopsida	Plantae	Lamium garganicum	SUBSPECIES	ACCEPTED	6	220	
3885185	Stachys atherocalyx	1922	1922	Magnoliopsida	Plantae	Stachys atherocalyx	SPECIES	ACCEPTED	6	220	K.Koch
2926686	Sideritis lanata	1907	1907	Magnoliopsida	Plantae	Sideritis lanata	SPECIES	ACCEPTED	6	220	L.
7707087	Dysphania glomulifera	1904	1924	Magnoliopsida	Plantae	Dysphania glomulifera	SPECIES	ACCEPTED	6	220	(Nees) Paul G.Wilson
7877091	Dysphania pseudomultiflora	1947	1947	Magnoliopsida	Plantae	Dysphania pseudomultiflora	SPECIES	ACCEPTED	6	220	(Murr) Verloove & Lambinon
5568361	Dysphania multifida	1882	1948	Magnoliopsida	Plantae	Dysphania multifida	SPECIES	ACCEPTED	6	220	(L.) Mosyakin & Clemants
5383926	Beta trigyna	1859	1921	Magnoliopsida	Plantae	Beta trigyna	SPECIES	ACCEPTED	6	220	Waldst. & Kit.
7323810	Amaranthus mitchellii	1892	1948	Magnoliopsida	Plantae	Amaranthus mitchellii	SPECIES	ACCEPTED	6	220	Benth.
3083667	Atriplex semibaccata	1947	1947	Magnoliopsida	Plantae	Atriplex semibaccata	SPECIES	ACCEPTED	6	220	R.Br.
8185812	Mesembryanthemum cordifolium	1892	1947	Magnoliopsida	Plantae	Mesembryanthemum cordifolium	SPECIES	ACCEPTED	6	220	L.fil.
3084883	Sesuvium portulacastrum	1907	1907	Magnoliopsida	Plantae	Sesuvium portulacastrum	SPECIES	ACCEPTED	6	220	(L.) L.
7314281	Paronychia brasiliana	1887	1949	Magnoliopsida	Plantae	Paronychia brasiliana	SPECIES	ACCEPTED	6	220	DC.
2888993	Rumex bucephalophorus	1928	1928	Magnoliopsida	Plantae	Rumex bucephalophorus	SPECIES	ACCEPTED	6	220	L.
3079631	Andrachne telephioides	1947	1947	Magnoliopsida	Plantae	Andrachne telephioides	SPECIES	ACCEPTED	6	220	L.
2856504	Allium fistulosum	1850	1949	Liliopsida	Plantae	Allium fistulosum	SPECIES	ACCEPTED	6	196	L.
2714796	Cyperus difformis	1911	1947	Liliopsida	Plantae	Cyperus difformis	SPECIES	ACCEPTED	6	196	L.
2714301	Cyperus conglomeratus	1947	1947	Liliopsida	Plantae	Cyperus conglomeratus	SPECIES	ACCEPTED	6	196	Rottb.
2716420	Cyperus virens	1947	1947	Liliopsida	Plantae	Cyperus virens	SPECIES	ACCEPTED	6	196	Michx.
2715206	Cyperus exaltatus	1911	1947	Liliopsida	Plantae	Cyperus exaltatus	SPECIES	ACCEPTED	6	196	Retz.
7361239	Triraphis mollis	1899	1947	Liliopsida	Plantae	Triraphis mollis	SPECIES	ACCEPTED	6	196	R.Br.
5677636	Cynodon convergens	1947	1947	Liliopsida	Plantae	Cynodon convergens	SPECIES	ACCEPTED	6	196	F.Muell.
5289814	Eustachys neglecta	1949	1949	Liliopsida	Plantae	Eustachys neglecta	SPECIES	ACCEPTED	6	196	(Nash) Nash
5289762	Lamarckia aurea	1891	1949	Liliopsida	Plantae	Lamarckia aurea	SPECIES	ACCEPTED	6	196	(L.) Moench
5289763	Gastridium phleoides	1895	1920	Liliopsida	Plantae	Gastridium phleoides	SPECIES	ACCEPTED	6	196	(Nees & Meyen) C.E.Hubb.
5674919	Tragus koelerioides	1887	1947	Liliopsida	Plantae	Tragus koelerioides	SPECIES	ACCEPTED	6	196	Asch.
5289911	Polypogon elongatus	1883	1921	Liliopsida	Plantae	Polypogon elongatus	SPECIES	ACCEPTED	6	196	Kunth
5674110	Nassella filiculmis	1949	1949	Liliopsida	Plantae	Nassella filiculmis	SPECIES	ACCEPTED	6	196	(Delile) Barkworth
5289836	Nassella formicarum	1884	1925	Liliopsida	Plantae	Nassella formicarum	SPECIES	ACCEPTED	6	196	(Delile) Barkworth
5289831	Nassella neesiana	1895	1915	Liliopsida	Plantae	Nassella neesiana	SPECIES	ACCEPTED	6	196	(Trin. & Rupr.) Barkworth
4146512	Puccinellia stricta	1901	1911	Liliopsida	Plantae	Puccinellia stricta	SPECIES	ACCEPTED	6	196	(Hook.f.) C.H.Blom
4130246	Stipagrostis pungens	1947	1947	Liliopsida	Plantae	Stipagrostis pungens	SPECIES	ACCEPTED	6	196	(Desf.) De Winter
5289957	Digitaria brownii	1911	1921	Liliopsida	Plantae	Digitaria brownii	SPECIES	ACCEPTED	6	196	(Roem. & Schult.) Hughes
4131963	Digitaria acuminatissima	1947	1947	Liliopsida	Plantae	Digitaria acuminatissima	SPECIES	ACCEPTED	6	196	Stapf
4125110	Harpachne schimperi	1947	1947	Liliopsida	Plantae	Harpachne schimperi	SPECIES	ACCEPTED	6	196	Hochst. ex A.Rich.
4105208	Austrostipa nitida	1902	1902	Liliopsida	Plantae	Austrostipa nitida	SPECIES	ACCEPTED	6	196	(Summerh. & C.E.Hubb.) S.W.L.Jacobs & J.Everett
2703682	Bromus briziformis	1922	1922	Liliopsida	Plantae	Bromus briziformis	SPECIES	ACCEPTED	6	196	Fisch. & C.A.Mey.
2703731	Bromus brevis	1902	1949	Liliopsida	Plantae	Bromus brevis	SPECIES	ACCEPTED	6	196	Steud.
4152153	Enneapogon scaber	1912	1912	Liliopsida	Plantae	Enneapogon scaber	SPECIES	ACCEPTED	6	196	Lehm.
2703892	Enneapogon desvauxii	1912	1912	Liliopsida	Plantae	Enneapogon desvauxii	SPECIES	ACCEPTED	6	196	P.Beauv.
4136695	Bothriochloa macra	1911	1947	Liliopsida	Plantae	Bothriochloa macra	SPECIES	ACCEPTED	6	196	(Steud.) S.T.Blake
4134633	Eriochloa australiensis	1911	1911	Liliopsida	Plantae	Eriochloa australiensis	SPECIES	ACCEPTED	6	196	Stapf & Thell.
