taxonKey	canonicalName	first_observed	last_observed	class	kingdom	scientificName	rank	taxonomicStatus	kingdomKey	classKey	authorship
2702527	Eriochloa procera	1899	1947	Liliopsida	Plantae	Eriochloa procera	SPECIES	ACCEPTED	6	196	(Retz.) C.E.Hubb.
4142399	Eragrostis procumbens	1921	1947	Liliopsida	Plantae	Eragrostis procumbens	SPECIES	ACCEPTED	6	196	Nees
4143702	Eragrostis obtusa	1911	1911	Liliopsida	Plantae	Eragrostis obtusa	SPECIES	ACCEPTED	6	196	Munro ex Ficalho & Hiern
4150636	Eragrostis alveiformis	1924	1948	Liliopsida	Plantae	Eragrostis alveiformis	SPECIES	ACCEPTED	6	196	Lazarides
2705341	Eragrostis atrovirens	1948	1948	Liliopsida	Plantae	Eragrostis atrovirens	SPECIES	ACCEPTED	6	196	(Desf.) Trin. ex Steud.
2705452	Eragrostis bahiensis	1921	1947	Liliopsida	Plantae	Eragrostis bahiensis	SPECIES	ACCEPTED	6	196	Schult.
4151306	Sporobolus caroli	1911	1947	Liliopsida	Plantae	Sporobolus caroli	SPECIES	ACCEPTED	6	196	Mez
4113402	Panicum decompositum	1905	1905	Liliopsida	Plantae	Panicum decompositum	SPECIES	ACCEPTED	6	196	R.Br.
2706195	Milium vernale	1844	1948	Liliopsida	Plantae	Milium vernale	SPECIES	ACCEPTED	6	196	M.Bieb.
2706277	Aristida adscensionis	1939	1947	Liliopsida	Plantae	Aristida adscensionis	SPECIES	ACCEPTED	6	196	L.
4139894	Phleum echinatum	1923	1949	Liliopsida	Plantae	Phleum echinatum	SPECIES	ACCEPTED	6	196	Host
2706067	Hordeum bulbosum	1889	1900	Liliopsida	Plantae	Hordeum bulbosum	SPECIES	ACCEPTED	6	196	L.
4105652	Amphibromus recurvatus	1904	1904	Liliopsida	Plantae	Amphibromus recurvatus	SPECIES	ACCEPTED	6	196	Swallen
2701118	Juncus subsecundus	1921	1921	Liliopsida	Plantae	Juncus subsecundus	SPECIES	ACCEPTED	6	196	N.A.Wakef.
2650180	Botrychium simplex	1908	1908	Polypodiopsida	Plantae	Botrychium simplex	SPECIES	ACCEPTED	6	7228684	E.Hitchc.
4134265	Anthosachne scabra	1895	1921	Liliopsida	Plantae	Anthosachne scabra	SPECIES	ACCEPTED	6	196	(R.Br.) Nevski
2473421	Lagopus lagopus	1890	1935	Aves	Animalia	Lagopus lagopus	SPECIES	ACCEPTED	1	212	(Linnaeus, 1758) 
2940408	Cytisophyllum sessilifolium	1949	1949	Magnoliopsida	Plantae	Cytisophyllum sessilifolium	SPECIES	ACCEPTED	6	220	(L.) O.Lang
3145375	Deinandra fasciculata	1922	1922	Magnoliopsida	Plantae	Deinandra fasciculata	SPECIES	ACCEPTED	6	220	(DC.) Greene
2703776	Bromus polyanthus	1915	1915	Liliopsida	Plantae	Bromus polyanthus	SPECIES	ACCEPTED	6	196	Scribn. ex Shear
2972703	Onobrychis caput-galli	1907	1907	Magnoliopsida	Plantae	Onobrychis caput-galli	SPECIES	ACCEPTED	6	220	(L.) Lam.
4135683	Rytidosperma setaceum	1893	1947	Liliopsida	Plantae	Rytidosperma setaceum	SPECIES	ACCEPTED	6	196	(R.Br.) Connor & Edgar
9632508	Sporobolus alopecuroides	1909	1911	Liliopsida	Plantae	Sporobolus alopecuroides	SPECIES	ACCEPTED	6	196	(Piller & Mitterp.) P.M.Peterson
9379326	Sporobolus aculeatus	1901	1901	Liliopsida	Plantae	Sporobolus aculeatus	SPECIES	ACCEPTED	6	196	(L.) P.M.Peterson
4121365	Festuca ligustica	1871	1929	Liliopsida	Plantae	Festuca ligustica	SPECIES	ACCEPTED	6	196	(All.) Bertol.
4128881	Festuca antucensis	1910	1910	Liliopsida	Plantae	Festuca antucensis	SPECIES	ACCEPTED	6	196	(Trin.) Steud.
4155246	Moorochloa eruciformis	1947	1949	Liliopsida	Plantae	Moorochloa eruciformis	SPECIES	ACCEPTED	6	196	(Sm.) Veldkamp
10773250	Melilotus siculus	1948	1948	Magnoliopsida	Plantae	Melilotus siculus	SPECIES	ACCEPTED	6	220	(Turra) Steud.
5349991	Coronilla securidaca	1909	1909	Magnoliopsida	Plantae	Coronilla securidaca	SPECIES	ACCEPTED	6	220	L.
2965250	Medicago tornata	1949	1949	Magnoliopsida	Plantae	Medicago tornata	SPECIES	ACCEPTED	6	220	(L.) Mill.
7711892	Isatis quadrialata	1909	1932	Magnoliopsida	Plantae	Isatis quadrialata	SPECIES	ACCEPTED	6	220	Al-Shehbaz, Moazzeni & Mummenhoff
3137579	Galactites tomentosa	1912	1923	Magnoliopsida	Plantae	Galactites tomentosa	SPECIES	ACCEPTED	6	220	Moench
3089549	Centaurea depressa	1909	1922	Magnoliopsida	Plantae	Centaurea depressa	SPECIES	ACCEPTED	6	220	M.Bieb.
3026426	Spiraea brachybotrys	1947	1947	Magnoliopsida	Plantae	Spiraea brachybotrys	SPECIES	ACCEPTED	6	220	Lange
