gbifID,year,individualCount,lifeStage,eventID,locationID,NISCODE,NAAM,provincie,verbatimLocality,locality,n_fuiken
4060851036,2022,56,larvae,fda97aa5-07a8-447a-b96f-10ad79c3bf48,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,9
4060851035,2022,16,larvae,35fb14f3-ceeb-4adc-a414-b732acd25420,13C21386-73BD-4394-BF8C-D621BB1AE140,13003,Balen,Antwerpen,,molse nete 27,5
4060851030,2022,2,larvae,e24ef8d6-9911-43cc-8847-1d5f3458ee1f,2AB1C866-FD95-4691-A764-F45063561D06,13008,Geel,Antwerpen,,meerhout 14,18.5
4060851026,2022,1,adult,be051519-194e-47a7-b58e-402366ab7b4f,ECA7478C-5118-4264-AEC9-BEA600FCCF86,13016,Hulshout,Antwerpen,,steenkesloop 5,3
4060851025,2020,23,larvae,bcc11fae-f25d-43fe-9318-27fad26b9bc0,829b4e3e-8baf-4236-9896-1f8bb58e893c,13003,Balen,Antwerpen,,griesbroek 5,2
4060851024,2022,36,larvae,d5fcf4bf-9da7-4ad9-850c-2f74088ff612,62abe301-066c-4fa9-a54d-14e8b8882923,13053,Laakdal,Antwerpen,,laakdal 5,9.5
4060851023,2021,1,larvae,e5987004-5c4b-4a10-adcb-281cd69566a4,AAE5A83A-6590-4F17-AF25-0CAAC262AAB9,13013,Herselt,Antwerpen,,herselt 2,3
4060851022,2021,1,larvae,dc16940f-70ca-4553-964a-34919134a840,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060851017,2021,7,larvae,0c3e1332-409d-4af0-b2a2-5f11ea91727c,B08D8107-F3B5-4C98-9757-147574C9402D,13016,Hulshout,Antwerpen,,steenkesloop 1,5
4060851016,2019,1,adult,c6ef5a20-640b-48b0-976e-5944640f6fa6,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,8
4060851015,2022,20,larvae,544ae1a5-c513-4ef7-a2dd-b0fce1b976f3,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,9
4060851014,2020,5,larvae,c2089ad0-30c4-4e7b-bf71-0ea9e7ea46cf,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,4
4060851012,2021,31,larvae,4bf86f1b-b8a9-4b47-83f4-0a90189d3edf,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4060851010,2022,10,larvae,0a5c49e0-839b-42d1-bfca-6dbff5a3c2bc,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,9
4060851008,2022,3,larvae,98bf0048-0177-432d-a738-f8660a7c1f61,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,5
4060851007,2019,108,larvae,1c7b7cd8-7530-4232-aa26-77b9d7acf72e,362ad334-59ba-4d85-8774-a60dd8d5f130,NA,NA,NA,,moerbeemdweg,11
4060851005,2021,32,larvae,cfdf6003-1b6b-4c77-9473-0ba641f1c310,CFE5F760-038E-4AFA-A19C-F41167BA5C06,13053,Laakdal,Antwerpen,,laakdal 42,6
4060851003,2022,1,juvenile,d64005d5-2b18-4329-9638-fbd645c58af8,2AB1C866-FD95-4691-A764-F45063561D06,13008,Geel,Antwerpen,,meerhout 14,15
4060850998,2021,1,juvenile,98b33d28-aed3-4c48-9709-668e172c5ee6,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,3
4060850997,2021,8,juvenile,05a434b5-2c4c-4a10-9101-b02609545924,A4760255-D2AE-4D89-BF0B-4E60ABC25410,12014,Heist-Op-Den-Berg,Antwerpen,,bergebeek 1,2
4060850984,2022,596,larvae,d97c80be-9bbe-4041-84cf-0f03eb2917c2,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,10
4060850982,2021,176,larvae,3ea2156e-56bc-4c0d-8fd1-1ef35499f4ec,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,7
4060850978,2022,27,larvae,4f54c25b-4c6d-4b98-921f-21cd41b00449,C3A85A82-8DBF-4F00-B8F0-E9334CC90EA3,13021,Meerhout,Antwerpen,,meerhout 15,1
4060850976,2020,9,larvae,d0ff02f6-f84c-4add-9872-d93764804497,95a96ebf-b2d0-461f-9304-d7ada7c4f31d,13003,Balen,Antwerpen,,griesbroek 3,2
4060850975,2021,7,larvae,80815df4-4d57-4feb-b3ad-bcefc3769232,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,5
4060850974,2019,12,larvae,20346b7a-24aa-42a9-b9e4-9c922465bcb8,009d325e-8c76-4049-bc69-31f6163e254e,13003,Balen,Antwerpen,,scheps 7,4
4060850973,2021,96,larvae,9889b9bf-d409-40f5-a382-894ff150ddb5,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,8
4060850970,2022,0,adult,544ae1a5-c513-4ef7-a2dd-b0fce1b976f3,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,9
4060850968,2021,8,larvae,2256280f-9a61-4f23-bfb4-595a07d558b6,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4060850967,2021,1,larvae,6fef1966-8358-4b3b-98c2-95c2d2e411ee,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,8
4060850964,2022,1,larvae,19f77db6-cadc-4473-8932-c8414a60ee62,E0BFF7E4-D0E2-44B4-A7FE-2DD211144B52,13003,Balen,Antwerpen,,scheps 39,10
4060850963,2021,1,juvenile,1ed2d092-f7d1-4d36-8e89-f90875f6acd2,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,3
4060850961,2021,14,larvae,8ef5d243-4daf-41b8-999c-83d05962644d,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4060850951,2022,17,larvae,7a376fea-0aa8-423e-b8a8-51cf4b856b64,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,9
4060850948,2022,31,larvae,70317e46-6e18-4b8f-830b-803864f4d72b,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,9
4060850947,2021,12,larvae,e0df3e24-b2a3-42a2-b291-b61e2858b03b,3D6D580A-AB46-401F-8ABF-43001E535D3F,13013,Herselt,Antwerpen,,herselt 8,5
4060850944,2021,48,larvae,15848636-8990-4f94-9869-d3d462532821,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,7
4060850942,2019,5,juvenile,8c5c7a14-18bb-476f-9509-76a53277e34a,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,5
4060850941,2021,1,adult,f8552dd3-b622-4d2f-a211-1ba54dcf89cc,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060850939,2020,1,juvenile,f15870c9-acd4-4a82-a9b8-fc09cdcfc904,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,,nijlen b10,4
4060850937,2022,10,larvae,5f09bba9-bc33-4e44-aae9-c7f401d33fca,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,10
4060850936,2021,11,larvae,8ac63431-70a9-40aa-a372-841c4318d460,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4060850935,2022,2,larvae,79103e46-59ed-4d02-9cc0-2707260eb6bc,835E903F-A579-4355-8AB0-7D70249F0B89,13053,Laakdal,Antwerpen,,laakdal 37,5
4060850931,2019,1,larvae,9042a989-9610-4322-a659-677f21cf270d,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,9
4060850930,2021,62,larvae,4107b24c-63d3-4842-bebd-8c0e0ef4b535,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060850926,2022,5,larvae,ae08e859-c2fd-42bf-a857-37a111bcf4db,3D6D580A-AB46-401F-8ABF-43001E535D3F,13013,Herselt,Antwerpen,,herselt 8,8.5
4060850925,2022,1,larvae,6152ec8d-2167-4a94-a392-f7b90d9b6f1a,5cb58f03-360e-4037-9975-b9ecd48948a0,13003,Balen,Antwerpen,,griesbroek 8,1
4060850924,2019,1,larvae,095b1502-4589-4eb2-aed0-76e9c56a0b58,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,7
4060850923,2021,1,larvae,b8a1778e-3693-4df4-b303-6219fc77a497,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,5
4060850922,2022,1,juvenile,5503f937-8668-4292-a88d-e07db98c220d,A4760255-D2AE-4D89-BF0B-4E60ABC25410,12014,Heist-Op-Den-Berg,Antwerpen,,bergebeek 1,3
4060850920,2021,38,larvae,3ea2156e-56bc-4c0d-8fd1-1ef35499f4ec,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,7
4060850918,2021,3,larvae,4c000a38-1c1f-40b1-bced-0be669441d15,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,5
4060850917,2022,0,larvae,059a8533-9b07-4520-a458-7e27f8a9a834,835E903F-A579-4355-8AB0-7D70249F0B89,13053,Laakdal,Antwerpen,,laakdal 37,5
4060850916,2019,4,juvenile,af3fe592-71a7-47a2-bfdf-2376f2cab64f,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,,nijlen b10,7
4060850915,2022,1,larvae,ce497cd5-a1d6-4113-bfbb-a56b5b549756,E0BFF7E4-D0E2-44B4-A7FE-2DD211144B52,13003,Balen,Antwerpen,,scheps 39,11
4060850914,2022,2,larvae,d97efdee-cf1f-46c5-9d40-9dea1d9a53a0,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,11
4060850913,2021,3,larvae,9413e72a-bddf-4aa6-b2df-a9fcf422a1b0,3D6D580A-AB46-401F-8ABF-43001E535D3F,13013,Herselt,Antwerpen,,herselt 8,5
4060850904,2021,54,larvae,2256280f-9a61-4f23-bfb4-595a07d558b6,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4060850902,2022,1,juvenile,c40e749d-3410-41de-acad-c1065d9bc3b2,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,10.5
4060850900,2021,3,larvae,6cb94327-8389-47c4-9c75-471dabfb56d6,62abe301-066c-4fa9-a54d-14e8b8882923,13053,Laakdal,Antwerpen,,laakdal 5,5
4060850897,2022,33,larvae,e88f9098-a6e0-4015-a2d7-c522ce5c61cb,2AB1C866-FD95-4691-A764-F45063561D06,13008,Geel,Antwerpen,,meerhout 14,18
4060850893,2022,14,larvae,61122d2b-2ee4-4c78-bd33-2a7107cfe182,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,9.5
4060850892,2020,12,larvae,561e68c2-1418-4bdf-9728-6538b740c5b0,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,6
4060850889,2022,2,larvae,61122d2b-2ee4-4c78-bd33-2a7107cfe182,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,9.5
4060850888,2021,3,larvae,6afa9358-aea9-428f-8c9d-299dd556a778,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060850887,2021,14,larvae,4d12cba4-0159-4d5c-9213-87707f8cd71d,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,7
4060850883,2021,19,larvae,9ed924fe-7386-4d16-9360-5e19e74ceedd,009d325e-8c76-4049-bc69-31f6163e254e,13003,Balen,Antwerpen,,scheps 7,4
4060850881,2022,11,larvae,61122d2b-2ee4-4c78-bd33-2a7107cfe182,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,9.5
4060850878,2022,1,adult,a4f915f9-939b-48f5-9de3-7e6c0d90eef1,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,9.5
4060850876,2022,3,larvae,2e4a04fe-11d8-4ebe-b79a-31e3574acabe,3D6D580A-AB46-401F-8ABF-43001E535D3F,13013,Herselt,Antwerpen,,herselt 8,9.5
4060850874,2019,1,larvae,346c8440-8252-48ab-83b5-d1f6bda571f2,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,,nijlen b10,7
4060850873,2022,13,larvae,c2177d03-df5d-4574-a855-2fb800bd3793,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,10.5
4060850872,2021,12,larvae,5dbb17b3-11fe-4562-aa43-e94e444575ca,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060850871,2021,2,larvae,5036aee7-e648-46db-b7a0-147b2c8208b6,62abe301-066c-4fa9-a54d-14e8b8882923,13053,Laakdal,Antwerpen,,laakdal 5,5
4060850866,2022,67,larvae,9b94cdbd-f2fc-41f8-91ac-ce21f75d1f85,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,10
4060850863,2022,14,larvae,e9f53ff4-4f6d-4579-98e1-6e12fd11cbc8,F839D846-F59A-4D49-AE3A-724B06CE89E4,13003,Balen,Antwerpen,,scheps 40,9
4060850862,2019,1,juvenile,c79357fa-0897-420f-aa07-f5f3e635bc41,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,,nijlen b10,4
4060850861,2021,34,larvae,cd929d71-086d-4c3a-aa9d-b74f4d18468b,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,5
4060850860,2022,1,larvae,ac0f625d-71f1-4bd7-a615-209eebee0e44,3D6D580A-AB46-401F-8ABF-43001E535D3F,13013,Herselt,Antwerpen,,herselt 8,9
4060850858,2019,17,larvae,beb20982-0b7d-49e7-8868-657b9482506c,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,8
4060850856,2021,10,larvae,2dc66e5a-ebd6-4375-b5c1-2a8c62450381,3D6D580A-AB46-401F-8ABF-43001E535D3F,13013,Herselt,Antwerpen,,herselt 8,5
4060850855,2021,2,larvae,5eae9302-0d42-4d1a-b870-245dbeb614b5,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,3
4060850854,2021,2,larvae,c2ef5900-ab8c-418d-8acd-f48d65ba3564,80212004-2568-4EFB-B97B-75F8EC16F9C1,13053,Laakdal,Antwerpen,,laakdal 43,5
4060850851,2022,1,larvae,0c51a95f-64cc-4c1a-87b6-66455aef6ebc,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,12
4060850849,2021,16,larvae,f5dd23fd-f8cf-43aa-a7b6-e46697c19dd2,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060850848,2022,14,larvae,e635c9fc-62fc-4379-9ae0-d9e2616d0bc4,E0BFF7E4-D0E2-44B4-A7FE-2DD211144B52,13003,Balen,Antwerpen,,scheps 39,7.5
4060850847,2022,5,larvae,669d3909-2841-4f03-8688-ee23d047d659,2AB1C866-FD95-4691-A764-F45063561D06,13008,Geel,Antwerpen,,meerhout 14,18.5
4060850840,2021,4,larvae,1ed2d092-f7d1-4d36-8e89-f90875f6acd2,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,3
4060850838,2022,2,larvae,481bb1a6-3ac4-4ff7-9b05-268e6b95e04b,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,10
4060850837,2021,10,larvae,dc16940f-70ca-4553-964a-34919134a840,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060850836,2021,44,larvae,8ef5d243-4daf-41b8-999c-83d05962644d,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4060850833,2021,1,juvenile,28482289-79a6-49a9-8026-b3363085c2e6,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,5
4060850831,2022,24,larvae,292d1a41-f7c4-4985-bc6c-fe7da4af3123,5AB89730-1687-4EC6-9E34-D6A23787BF75,13013,Herselt,Antwerpen,,herselt 1,2
4060850827,2022,3,larvae,e8dff427-3f3f-4aee-972e-b99df13e7462,F839D846-F59A-4D49-AE3A-724B06CE89E4,13003,Balen,Antwerpen,,scheps 40,10.5
4060850826,2021,6,larvae,1c855872-fc81-4adf-852a-8a32e744684a,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,5
4060850823,2022,2,juvenile,61122d2b-2ee4-4c78-bd33-2a7107cfe182,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,9.5
4060850817,2022,80,larvae,632828c5-ca31-4eb0-b5a3-9ad8015d8459,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,9.5
4060850814,2021,44,larvae,9ed924fe-7386-4d16-9360-5e19e74ceedd,009d325e-8c76-4049-bc69-31f6163e254e,13003,Balen,Antwerpen,,scheps 7,4
4060850813,2022,36,larvae,93d2c0df-ff90-496d-8752-bc26e5be230f,2AB1C866-FD95-4691-A764-F45063561D06,13008,Geel,Antwerpen,,meerhout 14,16
4060850812,2019,7,larvae,9a1aae59-97d7-4434-a82d-37f3e1d5dbb5,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,,nijlen b10,3
4060850811,2021,10,larvae,b8a1778e-3693-4df4-b303-6219fc77a497,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,5
4060850807,2022,1,larvae,38b8d6b8-e6ed-40e5-b32e-c5079ccdfe25,e8165c62-451a-4d96-882f-468098023cc4,13053,Laakdal,Antwerpen,,laakdal 30c,2.5
4060850802,2020,1,juvenile,79dfd921-2641-443b-b3d5-4e2fc4808d26,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,5
4060850801,2022,13,larvae,41f666c7-1aba-4cd8-ad7c-11c072cd5e06,B67850BE-C1FF-4995-9CF3-73B5E4F09B31,13053,Laakdal,Antwerpen,,roost 38,4.5
4060850793,2021,11,larvae,b9c4f6d6-da2c-4a4b-ac88-98abc5994e4e,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,8
4060850791,2021,1,adult,b8a1778e-3693-4df4-b303-6219fc77a497,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,5
4060850789,2022,2,juvenile,136b83a7-c938-4409-93aa-18072130770b,2AB1C866-FD95-4691-A764-F45063561D06,13008,Geel,Antwerpen,,meerhout 14,15
4060850788,2021,25,larvae,c1f6dfcb-d4b3-45d8-b78f-72965b6c2825,CFE5F760-038E-4AFA-A19C-F41167BA5C06,13053,Laakdal,Antwerpen,,laakdal 42,6
4060850787,2022,1,larvae,669d3909-2841-4f03-8688-ee23d047d659,2AB1C866-FD95-4691-A764-F45063561D06,13008,Geel,Antwerpen,,meerhout 14,18.5
4060850783,2022,2,juvenile,e8dff427-3f3f-4aee-972e-b99df13e7462,F839D846-F59A-4D49-AE3A-724B06CE89E4,13003,Balen,Antwerpen,,scheps 40,10.5
