ID_IAsset;Address_fireman;Date_fireman
51720;43 Kerkplein , 3212 Lubbeek Belgium;1/07/2023
880504;8 Korte Bermstraat , 3110 Rotselaar Belgium;1/11/2023
1133237;100 Gebroeders Tassetstraat , 3018 Leuven Belgium;1/12/2023
1368293;12 Hofkouter , 9860 Oosterzele Belgium;2/06/2023
428370;11 Wijngaardlaan , 3001 Leuven Belgium;3/09/2023
555521;20 Balkestraat , 1910 Kampenhout Belgium;3/10/2023
482818;63 Celestijnenlaan , 3001 Leuven Belgium;4/10/2023
421497;313 Leuvensebaan , 3220 Holsbeek Belgium;5/09/2023
72274;35 Koningin Elisabethlaan , 8870 Izegem Belgium;19/05/2023
141701;19 Bovenstraat , 9520 Sint-Lievens-Houtem Belgium;9/06/2023
604667;37 Kanunniksteen , 3090 Overijse Belgium;11/06/2023
36557;25 Houwaartstraat , 3210 Lubbeek Belgium;22/06/2023
43210;23 Petegemplein , 9790 Wortegem-Petegem Belgium;26/06/2023
99835;84 wontergemstraat , 8720 Dentergem Belgium;26/06/2023
43689;188 heropbouwstraat , 8800 Roeselare Belgium;28/06/2023
99976;19 dreve , 8720 Dentergem Belgium;28/06/2023
47591;69 piljoenstraat , 8800 Roeselare Belgium;28/06/2023
300692;69 Wortegemstraat , 9700 Oudenaarde Belgium;30/06/2023
99882;11 vaerenhove , 8720 Dentergem Belgium;4/07/2023
168193;32 Pastoriestraat , 9620 Zottegem Belgium;8/07/2023
166017;35 Zwalmlaan , 9630 Zwalm Belgium;8/07/2023
351743;15 Gobbelsrode , 3220 Holsbeek Belgium;9/07/2023
350143;40 Astridstraat , 3110 Rotselaar Belgium;9/07/2023
558252;1 Baron Opsomerdreef , 3090 Overijse Belgium;10/07/2023
614565;103 Paternosterstraat , 3110 Rotselaar Belgium;10/07/2023
627479;16 Nachtegalenlaan , 3080 Tervuren Belgium;10/07/2023
950642;120 Duisburgsesteenweg , 3090 Overijse Belgium;11/07/2023
989048;589 Diestsesteenweg , 3010 Kessel-Lo Belgium;11/07/2023
100263;16 Alex Vermaelenstraat , 3052 Oud-Heverlee Belgium;18/07/2023
707233;22 Ruisbroekstraat , 3360 Bierbeek Belgium;18/07/2023
270576;23 Meerspoort , 9700 Oudenaarde Belgium;18/07/2023
1368393;11 Ankerstraat , 9700 Oudenaarde Belgium;19/07/2023
349639;3 Groenstraat , 9620 Zottegem Belgium;19/07/2023
107596;66 Warotveld , 3020 Herent Belgium;20/07/2023
117501;27 kortemarkstraat , 8810 Lichtervelde Belgium;22/07/2023
49957;83 gitsbergstraat , 8830 Gits Belgium;22/07/2023
787339;4 Tulpenstraat , 9620 Zottegem Belgium;24/07/2023
134056;16 Mussenstraat , 9600 Ronse Belgium;25/07/2023
117834;46 deinzestraat , 8720 Dentergem Belgium;26/07/2023
562964;2 honzebroekstraat , 8800 Roeselare Belgium;28/07/2023
142656;105 biezenstraat , 8800 Roeselare Belgium;31/07/2023
1368443;37 Baarstraat , 9700 Oudenaarde Belgium;31/07/2023
223369;5 s Hertogenwijngaard , 3000 Leuven Belgium;31/07/2023
613125;26 Jezuïetengoed , 8800 Roeselare Belgium;8/08/2023
989253;150 Grensstraat , 3140 Keerbergen Belgium;11/08/2023
928529;2 Wilgenstraat , 3300 Tienen Belgium;11/08/2023
1030717;35 Kapelstraat , 3110 Rotselaar Belgium;11/08/2023
211968;262 Brusselsesteenweg , 3020 Herent Belgium;14/08/2023
1088840;7 Verhaegenlaan , 3150 Haacht Belgium;14/08/2023
575543;70 Oordegemstraat , 9520 Sint-Lievens-Houtem Belgium;14/08/2023
199667;15 Hoevestraat , 9620 Zottegem Belgium;16/08/2023
208085;60 Toverberg , 3001 Leuven Belgium;16/08/2023
761780;30 robert lawetstraat , 8800 Roeselare Belgium;17/08/2023
1122532;47 klokkeputstraat , 8800 Roeselare Belgium;17/08/2023
953030;2 Rodekruisstraat , 9600 Ronse Belgium;18/08/2023
117501;25 kortemarkstraat , 8810 Lichtervelde Belgium;18/08/2023
229349;27 ieperstraat , 8830 Hooglede Belgium;19/08/2023
595912;30 Mechelsevest , 3000 Leuven Belgium;21/08/2023
236233;63 Deinzestraat , 9700 Oudenaarde Belgium;21/08/2023
