ID_IAsset;Address_fireman;Date_fireman
248657;23 het gemet , 8800 Roeselare Belgium;22/08/2023
259216;4 Cotthem , 9520 Sint-Lievens-Houtem Belgium;22/08/2023
470099;5 Oombergenstraat , 9620 Zottegem Belgium;22/08/2023
1124156;15 boomgaardstraat , 8800 Roeselare Belgium;23/08/2023
458896;245 iepersestraat , 8800 Roeselare Belgium;24/08/2023
167495;8 berkenstraat , 8830 Gits Belgium;25/08/2023
595862;68 Rijweg , 3020 Herent Belgium;26/08/2023
819965;11 valkenhof , 8760 Meulebeke Belgium;28/08/2023
251936;12 Kampelaarstraat , 1910 Kampenhout Belgium;28/08/2023
295599;2 Gebroeders Tassetstraat , 3018 Leuven Belgium;28/08/2023
134056;43 Mussenstraat , 9600 Ronse Belgium;28/08/2023
275614;1 Poortveldstraat , 3010 Kessel-Lo Belgium;29/08/2023
167495;7 berkenstraat , 8800 Roeselare Belgium;30/08/2023
562964;243 gitsestraat , 8800 Roeselare Belgium;1/09/2023
321656;34 Désiré van de Wallestraat , 8800 Roeselare Belgium;4/09/2023
144548;55 s Hertogenwijngaard , 3000 Leuven Belgium;6/09/2023
1237115;17 Losbergenlaan , 3010 Kessel-Lo Belgium;11/09/2023
1190831;36 Peter Benoitlaan , 3010 Kessel-Lo Belgium;11/09/2023
416854;101 Schransdreef , 3090 Overijse Belgium;13/09/2023
416954;105 Jezus Eiksesteenweg , 1560 Hoeilaart Belgium;13/09/2023
204829;2 Billandestraat , 3040 Huldenberg Belgium;13/09/2023
352234;244 Tiensestraat , 3000 Leuven Belgium;13/09/2023
113294;1 Tervuursevest , 3000 Leuven Belgium;14/09/2023
467734;5 Edgard Sohiestraat , 1560 Hoeilaart Belgium;14/09/2023
258888;8 Sint-Annastraat , 9620 Zottegem Belgium;15/09/2023
314161;9 Wijngaardlaan , 3001 Leuven Belgium;15/09/2023
746436;24 Lijsterbessenlaan , 3090 Overijse Belgium;18/09/2023
471351;36 Groenendaalsesteenweg , 1560 Hoeilaart Belgium;19/09/2023
474821;25 Schemeringlaan , 3090 Overijse Belgium;21/09/2023
470099;37 Oombergenstraat , 9620 Zottegem Belgium;22/09/2023
487127;135 Oudenbos , 3200 Aarschot Belgium;25/09/2023
378975;48 Kloosterbergstraat , 3290 Diest Belgium;25/09/2023
468631;101 Tervuursevest , 3000 Leuven Belgium;26/09/2023
223369;3 Verloren kost , 3000 Leuven Belgium;27/09/2023
503254;34 Goudsbloemstraat , 3000 Leuven Belgium;27/09/2023
499561;66 Dorpsstraat , 3210 Lubbeek Belgium;27/09/2023
77681;13 Koetsweg , 3010 Kessel-Lo Belgium;7/10/2023
205126;27 Loveld , 3210 Lubbeek Belgium;8/10/2023
746436;28 Lijsterbessenlaan , 3090 Overijse Belgium;17/10/2023
50005;20 Terbankstraat , 3001 Heverlee Belgium;18/10/2023
737896;40 Parijsstraat , 3210 Lubbeek Belgium;18/10/2023
760564;22 Kartuizersstraat , 3220 Holsbeek Belgium;20/10/2023
780103;4 Perzikenstraat , 3201 Aarschot Belgium;20/10/2023
830483;141 Waversesteenweg , 3360 Bierbeek Belgium;23/10/2023
822662;156 Werchtersesteenweg , 3150 Haacht Belgium;23/10/2023
821111;14 Processieweg , 3118 Rotselaar Belgium;25/10/2023
764731;27 Langehaag , 9600 Ronse Belgium;25/10/2023
856786;23 Boskouter , 3010 Kessel-Lo Belgium;27/10/2023
1031083;138 Tervuursestraat , 3000 Leuven Belgium;31/10/2023
340144;561 Aarschotsesteenweg , 3000 Leuven Belgium;9/11/2023
715584;14 Lozenhoek , 3110 Rotselaar Belgium;10/11/2023
1121857;40 Bergstraat , 3200 Aarschot Belgium;13/11/2023
1051886;72 Testeltsesteenweg , 3201 Aarschot Belgium;13/11/2023
1065686;12 Halsdreef , 3090 Overijse Belgium;15/11/2023
1070923;18 Kapucienenstraat , 3080 Tervuren Belgium;15/11/2023
1070669;7 Trolieberg , 3010 Kessel-Lo Belgium;16/11/2023
1064392;18 Vossenlaan , 3080 Tervuren Belgium;22/11/2023
977223;3 Klimopdreef , 3140 Keerbergen Belgium;23/11/2023
1125962;29 Tulpenlaan , 3090 Overijse Belgium;30/11/2023
1370831;35 Bergstraat , 1560 Hoeilaart Belgium;10/12/2023
596062;8 Speelpleinstraat , 3360 Bierbeek Belgium;10/12/2023
45970;127 Eekloseweg , 9910 Ursel Belgium;NA
559128;13 Processieweg , 3118 Werchter Belgium;NA
