X,scientificName,taxonKey,rank,taxonomicStatus,kingdom,includes,classKey,gbifKey
10158,Veronica teucrium,11136683,VARIETY,SYNONYM,Plantae,NA,220,NA
10159,Veronica teucrium,4274443,VARIETY,SYNONYM,Plantae,NA,220,NA
10160,Veronica teucrium,7222196,VARIETY,SYNONYM,Plantae,NA,220,NA
10161,Veronica teucrium,5587240,VARIETY,SYNONYM,Plantae,NA,220,NA
10162,Veronica teucrium,5581279,VARIETY,SYNONYM,Plantae,NA,220,NA
10163,Veronica teucrium,4048052,VARIETY,SYNONYM,Plantae,NA,220,NA
10164,Veronica teucrium,3755928,VARIETY,SYNONYM,Plantae,NA,220,NA
10165,Veronica teucrium,8389446,NA,NA,NA,NA,196,NA
10166,Veronica teucrium teucrium,NA,NA,NA,NA,NA,NA,213215537
10167,Veronicastrum virginicum,3172206,SPECIES,ACCEPTED,Plantae,3172206: Veronicastrum virginicum (L.) Farw.,220,152545675
10168,Vespa velutina,1311477,SPECIES,ACCEPTED,Animalia,"1311477: Vespa velutina Lepeletier, 1836 | 6247411: Vespa velutina nigrithorax Buysson, 1905",216,152544481
10169,Viburnum davidi,3856436,SPECIES,ACCEPTED,Plantae,NA,220,213215379
10170,Viburnum davidii,4930155,SPECIES,ACCEPTED,Plantae,4930155: Viburnum davidii Franch.,220,NA
10171,Viburnum plicatum,2888622,SPECIES,ACCEPTED,Plantae,2888624: Viburnum plicatum var. tomentosum (Thunb.) Miq. | 2888622: Viburnum plicatum Thunb. | 8093708: Viburnum dentatum Thunb.,220,164251733
10172,Viburnum rhytidophylloides,2888588,SPECIES,ACCEPTED,Plantae,NA,220,152546272
10173,Viburnum rhytidophyllum,2888625,SPECIES,ACCEPTED,Plantae,2888625: Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.,220,152546271
10174,Viburnum tinus,2888585,SPECIES,ACCEPTED,Plantae,2888585: Viburnum tinus L.,220,152546270
10175,Vicia assyriaca,2974876,SPECIES,ACCEPTED,Plantae,NA,220,152545178
10176,Vicia benghalensis,2975384,SPECIES,ACCEPTED,Plantae,2975384: Vicia benghalensis L.,220,152545167
10177,Vicia benghalensis,5825913,SPECIES,ACCEPTED,Plantae,NA,194,152545167
10178,Vicia benghalensis,2176168,SPECIES,ACCEPTED,Plantae,NA,367,152545167
10179,Vicia benghalensis,4132112,SPECIES,ACCEPTED,Plantae,NA,196,152545167
10180,Vicia benghalensis,4932232,SPECIES,ACCEPTED,Plantae,NA,196,152545167
10181,Vicia benghalensis,7427741,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10182,Vicia benghalensis,7332416,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10183,Vicia benghalensis,2769073,SPECIES,ACCEPTED,Plantae,NA,196,152545167
10184,Vicia benghalensis,7298085,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10185,Vicia benghalensis,5548011,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10186,Vicia benghalensis,6313049,SPECIES,ACCEPTED,Plantae,NA,196,152545167
10187,Vicia benghalensis,5587240,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10188,Vicia benghalensis,3890974,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10189,Vicia benghalensis,2284443,SPECIES,ACCEPTED,Plantae,NA,11133537,152545167
10190,Vicia benghalensis,4219118,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10191,Vicia benghalensis,8991514,SPECIES,ACCEPTED,Plantae,NA,212,152545167
10192,Vicia benghalensis,7323341,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10193,Vicia benghalensis,9462721,SPECIES,ACCEPTED,Plantae,NA,212,152545167
10194,Vicia benghalensis,7358677,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10195,Vicia benghalensis,11844792,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10196,Vicia benghalensis,5544928,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10197,Vicia benghalensis,4273336,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10198,Vicia benghalensis,6157035,SPECIES,ACCEPTED,Plantae,NA,11418114,152545167
10199,Vicia benghalensis,7925720,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10200,Vicia benghalensis,2161911,SPECIES,ACCEPTED,Plantae,NA,367,152545167
10201,Vicia benghalensis,8369366,SPECIES,ACCEPTED,Plantae,NA,196,152545167
10202,Vicia benghalensis,7267492,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10203,Vicia benghalensis,9508942,SPECIES,ACCEPTED,Plantae,NA,220,152545167
10204,Vicia benghalensis,8134874,SPECIES,ACCEPTED,Plantae,NA,196,152545167
10205,Vicia benghalensis,7068845,NA,NA,NA,NA,220,152545167
10206,Vicia benghalensis benghalensis,NA,NA,NA,NA,NA,NA,213213764
10207,Vicia bithynica,2975309,SPECIES,ACCEPTED,Plantae,2975309: Vicia bithynica (L.) L.,220,152545170
10208,Vicia cuspidata,2975187,SPECIES,ACCEPTED,Plantae,2975187: Vicia cuspidata Boiss.,220,152545171
10209,Vicia dalmatica,3973636,SPECIES,ACCEPTED,Plantae,3971572: Vicia tenuifolia subsp. dalmatica (A.Kern.) Greuter,220,182134295
10210,Vicia dumetorum,2974946,SPECIES,ACCEPTED,Plantae,2974946: Vicia dumetorum L.,220,152545173
10211,Vicia eriocarpa,3973495,SPECIES,ACCEPTED,Plantae,NA,220,213213747
10212,Vicia ervilia,2974887,SPECIES,ACCEPTED,Plantae,2974887: Vicia ervilia (L.) Willd.,220,152545177
10213,Vicia faba,2974832,SPECIES,ACCEPTED,Plantae,2974832: Vicia faba L.,220,152545183
10214,Vicia grandiflora,2974901,SPECIES,ACCEPTED,Plantae,2974901: Vicia grandiflora Scop.,220,152545180
10215,Vicia hybrida,2975257,SPECIES,ACCEPTED,Plantae,2975257: Vicia hybrida L.,220,152545172
10216,Vicia hyrcanica,2974826,SPECIES,ACCEPTED,Plantae,NA,220,152545184
10217,Vicia lens,3973001,SPECIES,ACCEPTED,Plantae,NA,220,213213749
10218,Vicia lentoides,4110879,NA,NA,NA,NA,196,213213754
10219,Vicia lutea,2974753,SPECIES,ACCEPTED,Plantae,2974753: Vicia lutea L.,220,152545185
10220,Vicia melanops,7426824,SPECIES,ACCEPTED,Plantae,7426824: Vicia melanops Sm.,220,182134291
10221,Vicia monantha,2975416,SPECIES,ACCEPTED,Plantae,2975416: Vicia monantha Retz.,220,152545166
10222,Vicia narbonensis,2975132,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10223,Vicia narbonensis,7225456,VARIETY,SYNONYM,Plantae,NA,220,213213771
10224,Vicia narbonensis,7510471,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10225,Vicia narbonensis,3890974,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10226,Vicia narbonensis,7332517,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10227,Vicia narbonensis,3596131,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10228,Vicia narbonensis,11844792,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10229,Vicia narbonensis,7267631,SPECIES,ACCEPTED,Plantae,NA,220,213213771
