taxonKey,class,classKey,kingdom,kingdomKey
5666,Squamata,11592253,Animalia,1
2465626,Squamata,11592253,Animalia,1
5221394,Squamata,11592253,Animalia,1
4553469,Arachnida,367,Animalia,1
2454645,Squamata,11592253,Animalia,1
2442664,Testudines,11418114,Animalia,1
2441658,Testudines,11418114,Animalia,1
2466496,Squamata,11592253,Animalia,1
2457825,Squamata,11592253,Animalia,1
2459675,Squamata,11592253,Animalia,1
2771094,Liliopsida,196,Plantae,6
4562917,Gastropoda,225,Animalia,1
2294277,Gastropoda,225,Animalia,1
3197314,Phaeophyceae,7073593,Chromista,4
8485639,Bivalvia,137,Animalia,1
5232437,Aves,212,Animalia,1
3172077,Magnoliopsida,220,Plantae,6
3109086,Magnoliopsida,220,Plantae,6
9752149,Aves,212,Animalia,1
2435035,Mammalia,359,Animalia,1
4372686,Bivalvia,137,Animalia,1
2287615,Bivalvia,137,Animalia,1
5219858,Mammalia,359,Animalia,1
2439261,Mammalia,359,Animalia,1
2436940,Mammalia,359,Animalia,1
2474051,Aves,212,Animalia,1
2855356,Liliopsida,196,Plantae,6
2926130,Magnoliopsida,220,Plantae,6
3033865,Magnoliopsida,220,Plantae,6
3085438,Magnoliopsida,220,Plantae,6
3169708,Magnoliopsida,220,Plantae,6
7820753,Bivalvia,137,Animalia,1
2498252,Aves,212,Animalia,1
2879098,Magnoliopsida,220,Plantae,6
3129663,Magnoliopsida,220,Plantae,6
5298765,Liliopsida,196,Plantae,6
4565039,Gastropoda,225,Animalia,1
4989904,Insecta,216,Animalia,1
5192789,Gastropoda,225,Animalia,1
2928226,Magnoliopsida,220,Plantae,6
5410411,Magnoliopsida,220,Plantae,6
8427624,Magnoliopsida,220,Plantae,6
5330661,Liliopsida,196,Plantae,6
3190653,Magnoliopsida,220,Plantae,6
3021730,Magnoliopsida,220,Plantae,6
3146683,Magnoliopsida,220,Plantae,6
3188894,Magnoliopsida,220,Plantae,6
3048203,Magnoliopsida,220,Plantae,6
3085360,Magnoliopsida,220,Plantae,6
5352251,Magnoliopsida,220,Plantae,6
2078852,Insecta,216,Animalia,1
5333294,Magnoliopsida,220,Plantae,6
2498015,Aves,212,Animalia,1
4460066,Insecta,216,Animalia,1
9148577,Magnoliopsida,220,Plantae,6
1311477,Insecta,216,Animalia,1
5156102,Insecta,216,Animalia,1
5373324,Magnoliopsida,220,Plantae,6
2888513,Magnoliopsida,220,Plantae,6
8200663,Magnoliopsida,220,Plantae,6
2153287,Arachnida,367,Animalia,1
4201607,Magnoliopsida,220,Plantae,6
2772666,Liliopsida,196,Plantae,6
3003979,Magnoliopsida,220,Plantae,6
3033242,Magnoliopsida,220,Plantae,6
7127810,Magnoliopsida,220,Plantae,6
2888439,Magnoliopsida,220,Plantae,6
5377060,Magnoliopsida,220,Plantae,6
3147168,Magnoliopsida,220,Plantae,6
5374118,Magnoliopsida,220,Plantae,6
7332415,Magnoliopsida,220,Plantae,6
3103791,Magnoliopsida,220,Plantae,6
8014163,Gastropoda,225,Animalia,1
2775619,Liliopsida,196,Plantae,6
3131614,Magnoliopsida,220,Plantae,6
3172068,Magnoliopsida,220,Plantae,6
3188830,Magnoliopsida,220,Plantae,6
5290177,Liliopsida,196,Plantae,6
2498388,Aves,212,Animalia,1
5406789,Magnoliopsida,220,Plantae,6
7327990,Magnoliopsida,220,Plantae,6
6387003,Polypodiopsida,7228684,Plantae,6
2928751,Magnoliopsida,220,Plantae,6
5389017,Magnoliopsida,220,Plantae,6
3066965,Magnoliopsida,220,Plantae,6
4067302,Magnoliopsida,220,Plantae,6
3021850,Magnoliopsida,220,Plantae,6
2498387,Aves,212,Animalia,1
2925514,Magnoliopsida,220,Plantae,6
2747564,Liliopsida,196,Plantae,6
3145214,Magnoliopsida,220,Plantae,6
6098843,Insecta,216,Animalia,1
3047621,Magnoliopsida,220,Plantae,6
3118430,Magnoliopsida,220,Plantae,6
2473477,Aves,212,Animalia,1
2479226,Aves,212,Animalia,1
3172291,Magnoliopsida,220,Plantae,6
2704523,Liliopsida,196,Plantae,6
5341201,Magnoliopsida,220,Plantae,6
2498344,Aves,212,Animalia,1
2495414,Aves,212,Animalia,1
3146791,Magnoliopsida,220,Plantae,6
9398259,Liliopsida,196,Plantae,6
2115769,NA,NA,Animalia,1
2889173,Magnoliopsida,220,Plantae,6
4485843,Insecta,216,Animalia,1
3173338,Magnoliopsida,220,Plantae,6
2926110,Magnoliopsida,220,Plantae,6
5356517,Magnoliopsida,220,Plantae,6
2873861,Magnoliopsida,220,Plantae,6
5188971,Bivalvia,137,Animalia,1
2285504,Bivalvia,137,Animalia,1
2501248,Tentaculata,365,Animalia,1
2888625,Magnoliopsida,220,Plantae,6
2498035,Aves,212,Animalia,1
2498034,Aves,212,Animalia,1
3033227,Magnoliopsida,220,Plantae,6
2747567,Liliopsida,196,Plantae,6
2767271,Liliopsida,196,Plantae,6
2855439,Liliopsida,196,Plantae,6
2498305,Aves,212,Animalia,1
2498046,Aves,212,Animalia,1
5415012,Magnoliopsida,220,Plantae,6
1421091,Insecta,216,Animalia,1
2479329,Aves,212,Animalia,1
4486243,Insecta,216,Animalia,1
3189866,Magnoliopsida,220,Plantae,6
2928835,Magnoliopsida,220,Plantae,6
4484176,Insecta,216,Animalia,1
9326020,Aves,212,Animalia,1
7903057,Magnoliopsida,220,Plantae,6
5365717,Magnoliopsida,220,Plantae,6
2985949,Magnoliopsida,220,Plantae,6
2685796,Pinopsida,194,Plantae,6
3021496,Magnoliopsida,220,Plantae,6
5410151,Magnoliopsida,220,Plantae,6
8701771,NA,NA,Animalia,1
1031684,Insecta,216,Animalia,1
3096529,Magnoliopsida,220,Plantae,6
2888740,Magnoliopsida,220,Plantae,6
5281901,Bryopsida,327,Plantae,6
5598915,Magnoliopsida,220,Plantae,6
2986130,Magnoliopsida,220,Plantae,6
2705401,Liliopsida,196,Plantae,6
2890541,Magnoliopsida,220,Plantae,6
3189815,Magnoliopsida,220,Plantae,6
8298495,Magnoliopsida,220,Plantae,6
5289972,Liliopsida,196,Plantae,6
7828157,Magnoliopsida,220,Plantae,6
2225772,Malacostraca,229,Animalia,1
3053522,Magnoliopsida,220,Plantae,6
3034922,Magnoliopsida,220,Plantae,6
2331942,Ascidiacea,356,Animalia,1
3050595,Magnoliopsida,220,Plantae,6
4354941,Ascidiacea,356,Animalia,1
5289919,Liliopsida,196,Plantae,6
5376961,Magnoliopsida,220,Plantae,6
8745918,Gastropoda,225,Animalia,1
9151957,Magnoliopsida,220,Plantae,6
2874199,Magnoliopsida,220,Plantae,6
3046812,Magnoliopsida,220,Plantae,6
3085381,Magnoliopsida,220,Plantae,6
3147018,Magnoliopsida,220,Plantae,6
4598225,Gastropoda,225,Animalia,1
7763534,Insecta,216,Animalia,1
9823072,Magnoliopsida,220,Plantae,6
3084742,Magnoliopsida,220,Plantae,6
2142456,Arachnida,367,Animalia,1
5341204,Magnoliopsida,220,Plantae,6
2971095,Magnoliopsida,220,Plantae,6
2157245,Arachnida,367,Animalia,1
3085623,Magnoliopsida,220,Plantae,6
5178057,Malacostraca,229,Animalia,1
5334240,Magnoliopsida,220,Plantae,6
5341754,Magnoliopsida,220,Plantae,6
3034825,Magnoliopsida,220,Plantae,6
1702101,Insecta,216,Animalia,1
9890104,Gastropoda,225,Animalia,1
2702808,Liliopsida,196,Plantae,6
2705290,Liliopsida,196,Plantae,6
2891079,Magnoliopsida,220,Plantae,6
2295442,Gastropoda,225,Animalia,1
5341501,Magnoliopsida,220,Plantae,6
6109535,Magnoliopsida,220,Plantae,6
2296807,Gastropoda,225,Animalia,1
3172001,Magnoliopsida,220,Plantae,6
2888380,Magnoliopsida,220,Plantae,6
6096602,Jungermanniopsida,126,Plantae,6
3690997,Magnoliopsida,220,Plantae,6
5151589,Insecta,216,Animalia,1
2362868,NA,NA,Animalia,1
2149679,Arachnida,367,Animalia,1
2650829,Polypodiopsida,7228684,Plantae,6
3012089,Magnoliopsida,220,Plantae,6
5376648,Magnoliopsida,220,Plantae,6
5391480,Magnoliopsida,220,Plantae,6
4063383,Magnoliopsida,220,Plantae,6
3152824,Magnoliopsida,220,Plantae,6
2684171,Pinopsida,194,Plantae,6
5285637,Pinopsida,194,Plantae,6
2020655,Insecta,216,Animalia,1
3169137,Magnoliopsida,220,Plantae,6
2227300,Malacostraca,229,Animalia,1
4532122,Insecta,216,Animalia,1
3033077,Magnoliopsida,220,Plantae,6
3088310,Magnoliopsida,220,Plantae,6
4286975,NA,NA,Animalia,1
2890122,Magnoliopsida,220,Plantae,6
3034015,Magnoliopsida,220,Plantae,6
6374953,Magnoliopsida,220,Plantae,6
5712981,Insecta,216,Animalia,1
5362054,Magnoliopsida,220,Plantae,6
3172100,Magnoliopsida,220,Plantae,6
2685361,Pinopsida,194,Plantae,6
2992543,Magnoliopsida,220,Plantae,6
2677047,Bryopsida,327,Plantae,6
1309652,Insecta,216,Animalia,1
2855398,Liliopsida,196,Plantae,6
8542672,Magnoliopsida,220,Plantae,6
2286388,Bivalvia,137,Animalia,1
8149923,Magnoliopsida,220,Plantae,6
5373358,Magnoliopsida,220,Plantae,6
5284809,Pinopsida,194,Plantae,6
2683866,Pinopsida,194,Plantae,6
2685484,Pinopsida,194,Plantae,6
2880539,Magnoliopsida,220,Plantae,6
3032698,Magnoliopsida,220,Plantae,6
7978544,Magnoliopsida,220,Plantae,6
8307577,Malacostraca,229,Animalia,1
2095283,Insecta,216,Animalia,1
5369784,Magnoliopsida,220,Plantae,6
1421095,Insecta,216,Animalia,1
5179027,Chilopoda,360,Animalia,1
2993761,Magnoliopsida,220,Plantae,6
8012439,Magnoliopsida,220,Plantae,6
1152186,Insecta,216,Animalia,1
3020871,Magnoliopsida,220,Plantae,6
3981543,Magnoliopsida,220,Plantae,6
1047536,Insecta,216,Animalia,1
5384741,Magnoliopsida,220,Plantae,6
7678610,Magnoliopsida,220,Plantae,6
2925870,Magnoliopsida,220,Plantae,6
3046015,Magnoliopsida,220,Plantae,6
3067353,Magnoliopsida,220,Plantae,6
3054110,Magnoliopsida,220,Plantae,6
3170862,Magnoliopsida,220,Plantae,6
8909595,Malacostraca,229,Animalia,1
3042636,Magnoliopsida,220,Plantae,6
2715482,Liliopsida,196,Plantae,6
