nubKey,col_taxon_key,col_class_key,classKey
5740285,3HZCC,7NHQR,7774442
3202936,FBFY,BXQ,8179345
5179027,4W38V,63SXX,360
5250069,565Y9,565Y9,148
4985072,586SF,84K8Q,252
5250090,7DT7G,7DT7G,148
2557730,4ZBZM,4ZBZM,148
6157050,7H7N2,RP,11418114
7190901,7GVMR,RP,11418114
6157035,5F8HS,RP,11418114
6157026,5F8HQ,RP,11418114
7062200,5F8HR,RP,11418114
2537743,3T5L6,3T5L6,186
9350124,89JGM,RP,11592253
2516809,6QY38,6QY38,270
2516419,57XR2,57XR2,270
7239373,7DWCT,7DWCT,270
6159273,3RMXV,RP,11592253
2516117,6KVWP,6KVWP,270
2516137,6KW7V,6KW7V,270
9185677,4KPJD,RP,11592253
2469188,4KPJ3,RP,11592253
2516075,6BQ4Q,6BQ4Q,270
3376286,6WNR7,6WNR7,270
4344674,6CJB3,7NH5Q,NA
2515351,6WNND,6WNND,270
2515236,4QC98,4QC98,270
2514972,4QDTR,4QDTR,270
2514966,4QF5N,4QF5N,270
2502938,LVHK,7NHN3,NA
2513609,6FHQN,6FHQN,151
5232428,5Y8VT,V2,212
5232437,5WRC3,V2,212
7670473,KZGX,KZGX,10689325
2627503,KZGW,KZGW,10689325
2498387,BDDV,V2,212
2498388,5TV4F,V2,212
2498390,3Y7XF,V2,212
2498252,C5KM,V2,212
2498305,4BMPH,V2,212
2498344,32ZQ4,V2,212
2498015,54GHT,V2,212
2498035,5V9X5,V2,212
6096602,6QN5W,9JG46,126
5930559,PXGZ9,62WJ5,220
5414239,3PFBS,62WJ5,220
5533814,PXRJW,62WJ5,220
5220170,4TQLC,6224G,359
2441122,6TDD6,6224G,359
5220136,342N9,6224G,359
2440954,T56N,6224G,359
2440946,44KXR,6224G,359
5421116,586J2,J7G,220
5219858,49JSC,6224G,359
4264680,6RRQT,6224G,359
2439838,RQPV,6224G,359
3686235,6ZGB5,7LY4,220
5786666,6MK7J,6224G,359
2437619,377CX,6224G,359
5219721,6QZ9S,6224G,359
5914287,3ZDZL,JVZ,220
2439261,4RM67,6224G,359
3190653,BCBF,KTWQN,220
5219681,4VNCY,6224G,359
5219683,4VNDM,6224G,359
