Brandweer;straatnaam;huisnummer;Gemeente;Provincie;postcode;datum bestrijding;opmerking;Alreeds gemeld/Nieuwe melding;country;fullAddress;geometry
NA;Meerstraat;63;Oosterzele;Oost-Vlaanderen;9860;30/06/2023;NA;Nieuwe melding;Belgium;63 Meerstraat , 9860 Oosterzele Belgium;c(3.80223019605596, 50.953895302432)
NA;Beekstraat;6;Oudenaarde;Oost-Vlaanderen;9700;8/08/2023;NA;Nieuwe melding;Belgium;6 Beekstraat , 9700 Oudenaarde Belgium;c(3.77071639066359, 50.806489002471)
NA;Boskant;17;Oudenaarde;Oost-Vlaanderen;9700;31/07/2023;NA;Nieuwe melding;Belgium;17 Boskant , 9700 Oudenaarde Belgium;c(3.64246439608508, 50.861790802441)
NA;Boskant;30;Oudenaarde;Oost-Vlaanderen;9700;8/02/2023;NA;Nieuwe melding;Belgium;30 Boskant , 9700 Oudenaarde Belgium;c(3.64246439608508, 50.861790802441)
NA;Herlegem;33;Oudenaarde;Oost-Vlaanderen;9700;9/04/2023;NA;NA;Belgium;33 Herlegem , 9700 Oudenaarde Belgium;c(3.60518079609676, 50.8874186024296)
NA;Jagerij;33;Oudenaarde;Oost-Vlaanderen;9700;16/08/2023;NA;NA;Belgium;33 Jagerij , 9700 Oudenaarde Belgium;c(3.67779519607416, 50.8391725024514)
NA;Karel Martelstraat;79;Oudenaarde;Oost-Vlaanderen;9700;28/08/2023;NA;NA;Belgium;79 Karel Martelstraat , 9700 Oudenaarde Belgium;c(3.6559254960797, 50.8414567024484)
NA;kortrijkstraat;100;Oudenaarde;Oost-Vlaanderen;9700;7/07/2023;NA;NA;Belgium;100 kortrijkstraat , 9700 Oudenaarde Belgium;c(3.58698409609713, 50.8487420024387)
NA;Kraneveld;5;Oudenaarde;Oost-Vlaanderen;9700;9/04/2023;NA;NA;Belgium;5 Kraneveld , 9700 Oudenaarde Belgium;c(3.60913159609433, 50.8732317024341)
NA;Magnoliadreef;21;Oudenaarde;Oost-Vlaanderen;9700;17/07/2023;NA;NA;Belgium;21 Magnoliadreef , 9700 Oudenaarde Belgium;c(3.61575149609176, 50.8639819024375)
NA;Natendries;21;Oudenaarde;Oost-Vlaanderen;9700;8/10/2023;NA;NA;Belgium;21 Natendries , 9700 Oudenaarde Belgium;c(3.64290257077086, 50.8463266024455)
Brandweerzone Vlaamse Ardennen;Nederenamestraat;43;Oudenaarde;Oost-Vlaanderen;9700;20/10/2023;NA;NA;Belgium;43 Nederenamestraat , 9700 Oudenaarde Belgium;c(3.63438959608688, 50.8603447024406)
NA;Pauwel Vander Scheldenstraat;28;Oudenaarde;Oost-Vlaanderen;9700;8/09/2023;NA;NA;Belgium;28 Pauwel Vander Scheldenstraat , 9700 Oudenaarde Belgium;c(3.60433277160595, 50.8505806524401)
NA;Puistraat;44;Oudenaarde;Oost-Vlaanderen;9700;27/07/2023;NA;NA;Belgium;44 Puistraat , 9700 Oudenaarde Belgium;c(3.59985959609207, 50.8300909024455)
NA;Ronseweg;1;Oudenaarde;Oost-Vlaanderen;9700;31/08/2023;NA;NA;Belgium;1 Ronseweg , 9700 Oudenaarde Belgium;c(3.60368949609044, 50.8233425024479)
NA;Sint-Lucasstraat;1;Oudenaarde;Oost-Vlaanderen;9700;7/03/2023;NA;NA;Belgium;1 Sint-Lucasstraat , 9700 Oudenaarde Belgium;c(3.60985459609215, 50.8540339024397)
NA;Sompelplein;44;Oudenaarde;Oost-Vlaanderen;9700;18/07/2023;NA;NA;Belgium;44 Sompelplein , 9700 Oudenaarde Belgium;c(3.6071696960904, 50.830997502446)
NA;Stuivegem;10;Oudenaarde;Oost-Vlaanderen;9700;26/06/2023;NA;NA;Belgium;10 Stuivegem , 9700 Oudenaarde Belgium;c(3.61992899608834, 50.8408646024446)
NA;Tempelstraat;6;Oudenaarde;Oost-Vlaanderen;9700;8/07/2023;NA;NA;Belgium;6 Tempelstraat , 9700 Oudenaarde Belgium;c(3.66995109607686, 50.8467558024483)
NA;Terkerkenlaan;23;Oudenaarde;Oost-Vlaanderen;9700;30/06/2023;NA;NA;Belgium;23 Terkerkenlaan , 9700 Oudenaarde Belgium;c(3.61195476322997, 50.85368210244)
NA;Tivolistraat;91;Oudenaarde;Oost-Vlaanderen;9700;8/11/2023;NA;NA;Belgium;91 Tivolistraat , 9700 Oudenaarde Belgium;c(3.62974629608591, 50.8403199024458)
NA;Tuinwijk;6;Oudenaarde;Oost-Vlaanderen;9700;8/09/2023;NA;NA;Belgium;6 Tuinwijk , 9700 Oudenaarde Belgium;c(3.61081500945274, 50.8559199524393)
NA;Vlaamse Ardennendreef;6;Oudenaarde;Oost-Vlaanderen;9700;26/06/2023;NA;NA;Belgium;6 Vlaamse Ardennendreef , 9700 Oudenaarde Belgium;c(3.6206386960872, 50.8315730024473)
NA;Watermolenstraat;30;Oudenaarde;Oost-Vlaanderen;9700;28/06/2023;NA;NA;Belgium;30 Watermolenstraat , 9700 Oudenaarde Belgium;c(3.77025510991551, 50.8070399024707)
NA;Broeke;227;Ronse;Oost-Vlaanderen;9600;18/09/2023;NA;NA;Belgium;227 Broeke , 9600 Ronse Belgium;c(3.5997951475506, 50.765694902464)
