nubKey,col_taxon_key,col_class_key,classKey
5701337,NA,NA,220
5704991,NA,NA,220
4250826,NA,NA,220
4206362,NA,NA,220
1313740,NA,NA,216
8765358,NA,NA,216
3032646,NA,NA,220
3875113,NA,NA,220
7501634,NA,NA,220
7323834,NA,NA,220
3981817,NA,NA,220
2771094,NA,NA,196
8322034,NA,NA,196
2292567,NA,NA,225
2498283,NA,NA,212
2479550,NA,NA,212
6101215,NA,NA,212
5224480,NA,NA,11592253
7826520,NA,NA,196
11335341,NA,NA,196
7528816,NA,NA,196
7540482,NA,NA,196
3697259,NA,NA,220
7440977,NA,NA,220
8624880,NA,NA,225
9603492,NA,NA,220
5360221,NA,NA,220
8391331,NA,NA,220
2891621,NA,NA,220
7600329,NA,NA,220
7318199,NA,NA,220
3707394,NA,NA,220
3757660,NA,NA,220
3107362,NA,NA,220
3121547,NA,NA,220
6302047,NA,NA,220
3132567,NA,NA,220
3089142,NA,NA,220
8168344,NA,NA,220
12218002,NA,NA,220
5371869,NA,NA,220
12132283,NA,NA,220
4205304,NA,NA,220
2888796,NA,NA,220
7359335,NA,NA,220
8983123,NA,NA,220
5671095,NA,NA,220
7499940,NA,NA,220
3012426,NA,NA,220
