taxonKey	canonicalName	first_observed	last_observed	class	kingdom	kingdomKey	classKey
2513609	Entyloma calendulae	1900	1902	Exobasidiomycetes	Fungi	5	151
2498015	Tadorna ferruginea	1880	1880	Aves	Animalia	1	212
8077391	Citrus aurantium	1949	1949	Magnoliopsida	Plantae	6	220
5203111	Umbra pygmaea	1920	1920		Animalia	1	
2382155	Sander lucioperca	1890	1890		Animalia	1	
2394486	Lepomis gibbosus	1885	1885		Animalia	1	
7322393	Oenothera indecora	1895	1895	Magnoliopsida	Plantae	6	220
3188884	Oenothera oakesiana	1867	1923	Magnoliopsida	Plantae	6	220
2340989	Ameiurus nebulosus	1871	1871		Animalia	1	
5204019	Oncorhynchus mykiss	1884	1884		Animalia	1	
4286975	Cyprinus carpio	1201	1201		Animalia	1	
4286942	Carassius auratus	1601	1601		Animalia	1	
2366634	Carassius gibelio	1601	1601		Animalia	1	
7505045	Soliva anthemifolia	1893	1904	Magnoliopsida	Plantae	6	220
2294277	Theba pisana	1934	1934	Gastropoda	Animalia	1	225
4565134	Cernuella aginnica	1944	1944	Gastropoda	Animalia	1	225
4565140	Cernuella cisalpina	1937	1937	Gastropoda	Animalia	1	225
5389402	Bidens bipinnata	1885	1915	Magnoliopsida	Plantae	6	220
5391292	Centipeda minima	1910	1911	Magnoliopsida	Plantae	6	220
2288847	Teredo navalis	1730	1732	Bivalvia	Animalia	1	137
5403742	Scolymus hispanicus	1907	1907	Magnoliopsida	Plantae	6	220
5401877	Helenium autumnale	1948	1948	Magnoliopsida	Plantae	6	220
5393689	Asteriscus aquaticus	1911	1911	Magnoliopsida	Plantae	6	220
7706146	Crepis nicaeensis	1860	1908	Magnoliopsida	Plantae	6	220
3148548	Anacyclus valentinus	1913	1932	Magnoliopsida	Plantae	6	220
3141046	Centromadia pungens	1922	1922	Magnoliopsida	Plantae	6	220
3127613	Centaurea paniculata	1895	1895	Magnoliopsida	Plantae	6	220
8195160	Artemisia pontica	1850	1949	Magnoliopsida	Plantae	6	220
3120066	Achillea setacea	1885	1886	Magnoliopsida	Plantae	6	220
3147146	Erigeron speciosus	1869	1887	Magnoliopsida	Plantae	6	220
3119285	Erigeron philadelphicus	1945	1945	Magnoliopsida	Plantae	6	220
3125901	Sigesbeckia orientalis	1940	1948	Magnoliopsida	Plantae	6	220
3118216	Tanacetum corymbosum	1809	1850	Magnoliopsida	Plantae	6	220
3119225	Helianthus petiolaris	1949	1949	Magnoliopsida	Plantae	6	220
