title_id;title_nl;title_fr;title_en
Brussels;Brussels Hoofdstedelijk Gewest;Région de Bruxelles-Capitale;Brussels-Capital Region
Vlaams;Vlaams Gewest;Région flamande;Flemish Region
Waals;Waals Gewest;Région wallonne;Walloon Region
Namen;Namen;Namur;Namur
Oost-Vlaanderen;Oost-Vlaanderen;Flandre-Orientale;East Flanders
Waals-Brabant;Waals-Brabant;Brabant wallon;Walloon Brabant
Limburg;Limburg;Limbourg;NA
Henegouwen;Henegouwen;Hainaut;Hainaut
Luxemburg;Luxemburg;Luxembourg;Luxembourg
Antwerpen;Antwerpen;Anvers;Antwerp
Luik;Luik;Liège;Liège
HoofdstedelijkGewest;Hoofdstedelijk Gewest;Région de la capitale;Capital Region
Vlaams-Brabant;Vlaams-Brabant;Brabant flamand;Flemish Brabant
West-Vlaanderen;West-Vlaanderen;Flandre-Occidentale;West Flanders
Aartselaar;Aartselaar;NA;NA
Boechout;Boechout;NA;NA
Boom;Boom;NA;NA
Borsbeek;Borsbeek;NA;NA
Brasschaat;Brasschaat;NA;NA
Brecht;Brecht;NA;NA
Edegem;Edegem;NA;NA
Essen;Essen;NA;NA
Hemiksem;Hemiksem;NA;NA
Hove;Hove;Hoves;NA
Kalmthout;Kalmthout;NA;NA
Kapellen;Kapellen;NA;NA
Kontich;Kontich;NA;NA
Lint;Lint;NA;NA
Mortsel;Mortsel;NA;NA
Niel;Niel;NA;NA
Ranst;Ranst;NA;NA
Rumst;Rumst;NA;NA
Schelle;Schelle;NA;NA
Schilde;Schilde;NA;NA
Schoten;Schoten;NA;NA
Stabroek;Stabroek;NA;NA
Wijnegem;Wijnegem;NA;NA
Wommelgem;Wommelgem;NA;NA
Wuustwezel;Wuustwezel;NA;NA
Zandhoven;Zandhoven;NA;NA
Zoersel;Zoersel;NA;NA
Zwijndrecht;Zwijndrecht;NA;NA
Malle;Malle;NA;NA
Berlaar;Berlaar;NA;NA
Bonheiden;Bonheiden;NA;NA
Bornem;Bornem;NA;NA
Duffel;Duffel;NA;NA
Heist-Op-Den-Berg;Heist-Op-Den-Berg;NA;NA
Lier;Lier;Lierre;NA
Mechelen;Mechelen;Malines;NA
Nijlen;Nijlen;NA;NA
Putte;Putte;NA;NA
