srt,locationID,date_setup,date_retrieval,fyke_nr,species_code,lifeStage,biomass_g,svl_cm,sex,state,albino,species,nubKey,surface,lat_Y,long_X,gemeente,provincie,gewest,geometry,eventID,Jaar
2427-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_3,Xenlae,adult,137,12.1,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
62-1,Fish passage,2024-04-03T00:00:00Z,2024-04-05T00:00:00Z,SDSF_1,Xenlae,adult,150,12,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-04-03_2024-04-05,2024
1248-1,p12e,2024-06-12T00:00:00Z,2024-06-13T00:00:00Z,FF_1-32,Xenlae,adult,163,12,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-06-12_2024-06-13,2024
3652-1,p12e,2025-05-21T00:00:00Z,2025-05-22T00:00:00Z,SDSF_2,Xenlae,adult,148,12,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-05-21_2025-05-22,2025
2724-1,p42b,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_1,Xenlae,adult,165,12,F,alive,no,Xenopus laevis,5217334,,50.773444,2.765528,Heuvelland,West-Vlaanderen,flanders,"c(2.765528, 50.773444)",p42b_2024-08-06_2024-08-07,2024
4427-1,p18c,2025-10-01T00:00:00Z,2025-10-02T00:00:00Z,SDSF_2,Xenlae,adult,138,11.9,F,alive,no,Xenopus laevis,5217334,,50.769927,2.879769,Heuvelland,West-Vlaanderen,flanders,"c(2.879769, 50.769927)",p18c_2025-10-01_2025-10-02,2025
2584-1,p9e,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_1,Xenlae,adult,141,11.9,F,alive,no,Xenopus laevis,5217334,,50.754028,2.890472,Mesen,West-Vlaanderen,flanders,"c(2.890472, 50.754028)",p9e_2024-08-06_2024-08-07,2024
801-1,Fish passage,2024-05-21T00:00:00Z,2024-05-22T00:00:00Z,SDSF_1,Xenlae,adult,203,11.8,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-21_2024-05-22,2024
2920-1,p12e,2024-08-19T00:00:00Z,2024-08-20T00:00:00Z,SDSF_2,Xenlae,adult,124,11.8,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-08-19_2024-08-20,2024
2190-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_4,Xenlae,adult,121,11.7,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2745-1,p9e,2024-08-07T00:00:00Z,2024-08-08T00:00:00Z,SDSF_4,Xenlae,adult,132,11.7,F,alive,no,Xenopus laevis,5217334,,50.754028,2.890472,Mesen,West-Vlaanderen,flanders,"c(2.890472, 50.754028)",p9e_2024-08-07_2024-08-08,2024
2407-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,117,11.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
3112-1,p12e,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_3,Xenlae,adult,142,11.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-09-10_2024-09-11,2024
2535-1,Fish passage,2024-08-01T00:00:00Z,2024-08-02T00:00:00Z,SDSF_1,Xenlae,adult,177,11.5,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-08-01_2024-08-02,2024
2392-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,111,11.5,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
806-1,Fish passage,2024-05-21T00:00:00Z,2024-05-22T00:00:00Z,SDSF_1,Xenlae,adult,149,11.4,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-21_2024-05-22,2024
3668-1,p12e,2025-06-10T00:00:00Z,2025-06-11T00:00:00Z,SDSF_3,Xenlae,adult,124,11.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-06-10_2025-06-11,2025
4169-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_4,Xenlae,adult,105,11.4,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4021-1,p9c,2025-09-15T00:00:00Z,2025-09-17T00:00:00Z,SDSF_1,Xenlae,adult,136,11.4,F,alive,no,Xenopus laevis,5217334,,50.755472,2.885806,Mesen,West-Vlaanderen,wallonia,"c(2.885806, 50.755472)",p9c_2025-09-15_2025-09-17,2025
2984-1,p12e,2024-08-20T00:00:00Z,2024-08-21T00:00:00Z,SDSF_4,Xenlae,adult,116,11.3,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-08-20_2024-08-21,2024
3991-1,p9c,2025-09-15T00:00:00Z,2025-09-16T00:00:00Z,SDSF_1,Xenlae,adult,130,11.3,F,alive,no,Xenopus laevis,5217334,,50.755472,2.885806,Mesen,West-Vlaanderen,wallonia,"c(2.885806, 50.755472)",p9c_2025-09-15_2025-09-16,2025
2118-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,124,11.2,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
3678-1,p12e,2025-06-11T00:00:00Z,2025-06-12T00:00:00Z,SDSF_3,Xenlae,adult,111,11.2,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-06-11_2025-06-12,2025
2695-1,p7b,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_3,Xenlae,adult,106,11.2,F,alive,no,Xenopus laevis,5217334,,50.758111,2.838278,Heuvelland,West-Vlaanderen,flanders,"c(2.838278, 50.758111)",p7b_2024-08-06_2024-08-07,2024
75-1,Fish passage,2024-04-03T00:00:00Z,2024-04-05T00:00:00Z,SDSF_2,Xenlae,adult,141,11.1,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-04-03_2024-04-05,2024
3118-1,p12e,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_4,Xenlae,adult,137,11.1,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-09-10_2024-09-11,2024
3686-1,p12e,2025-07-02T00:00:00Z,2025-07-03T00:00:00Z,SDSF_1,Xenlae,adult,102,11.1,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-02_2025-07-03,2025
3936-1,p12e,2025-09-03T00:00:00Z,2025-09-04T00:00:00Z,SDSF_4,Xenlae,adult,112,11.1,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-09-03_2025-09-04,2025
862-1,p12e,2024-05-21T00:00:00Z,2024-05-22T00:00:00Z,FF_1-17,Xenlae,adult,181,11,F,dead,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-05-21_2024-05-22,2024
2123-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,96,11,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2394-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,114,11,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
4109-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_3,Xenlae,adult,95,11,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
3776-1,p6c,2025-08-25T00:00:00Z,2025-08-26T00:00:00Z,SDSF_2,Xenlae,adult,93,11,F,alive,no,Xenopus laevis,5217334,,50.759277,2.856115,Heuvelland,West-Vlaanderen,flanders,"c(2.856115, 50.759277)",p6c_2025-08-25_2025-08-26,2025
3128-1,Fish passage,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_1,Xenlae,adult,112,10.9,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-09-10_2024-09-11,2024
2113-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,115,10.9,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2191-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_4,Xenlae,adult,94,10.9,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2433-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_4,Xenlae,adult,95,10.9,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
3106-1,p12e,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_2,Xenlae,adult,119,10.9,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-09-10_2024-09-11,2024
3685-1,p12e,2025-07-02T00:00:00Z,2025-07-03T00:00:00Z,SDSF_1,Xenlae,adult,90,10.9,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-02_2025-07-03,2025
4005-1,p9c,2025-09-15T00:00:00Z,2025-09-16T00:00:00Z,SDSF_4,Xenlae,adult,110,10.9,F,alive,no,Xenopus laevis,5217334,,50.755472,2.885806,Mesen,West-Vlaanderen,wallonia,"c(2.885806, 50.755472)",p9c_2025-09-15_2025-09-16,2025
2432-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_4,Xenlae,adult,99,10.8,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
4017-1,p18b,2025-09-15T00:00:00Z,2025-09-16T00:00:00Z,SDSF_5,Xenlae,adult,116,10.8,F,alive,no,Xenopus laevis,5217334,,50.767674,2.881748,Heuvelland,West-Vlaanderen,flanders,"c(2.881748, 50.767674)",p18b_2025-09-15_2025-09-16,2025
4105-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_2,Xenlae,adult,94,10.8,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
3090-1,p12e,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_1,Xenlae,adult,109,10.7,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-09-10_2024-09-11,2024
118-1,Fish passage,2024-04-03T00:00:00Z,2024-04-05T00:00:00Z,SDSF_4,Xenlae,adult,147,10.6,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-04-03_2024-04-05,2024
803-1,Fish passage,2024-05-21T00:00:00Z,2024-05-22T00:00:00Z,SDSF_1,Xenlae,adult,115,10.6,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-21_2024-05-22,2024
1039-1,Fish passage,2024-05-22T00:00:00Z,2024-05-23T00:00:00Z,FF_1-15,Xenlae,adult,129,10.6,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-22_2024-05-23,2024
3145-1,Fish passage,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_2,Xenlae,adult,116,10.6,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-09-10_2024-09-11,2024
2409-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,84,10.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
3119-1,p12e,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_4,Xenlae,adult,95,10.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-09-10_2024-09-11,2024
3656-1,p12e,2025-05-21T00:00:00Z,2025-05-22T00:00:00Z,SDSF_3,Xenlae,adult,98,10.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-05-21_2025-05-22,2025
3915-1,p12e,2025-09-02T00:00:00Z,2025-09-03T00:00:00Z,SDSF_3,Xenlae,adult,104,10.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-09-02_2025-09-03,2025
4071-1,p12e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_1,Xenlae,adult,96,10.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-09-22_2025-09-23,2025
3814-1,p54,2025-08-25T00:00:00Z,2025-08-26T00:00:00Z,SDSF_2,Xenlae,adult,107,10.6,F,alive,no,Xenopus laevis,5217334,,50.764718,2.76806,Heuvelland,West-Vlaanderen,flanders,"c(2.76806, 50.764718)",p54_2025-08-25_2025-08-26,2025
3793-1,p7b,2025-08-25T00:00:00Z,2025-08-26T00:00:00Z,SDSF_2,Xenlae,adult,86,10.6,F,alive,no,Xenopus laevis,5217334,,50.758111,2.838278,Heuvelland,West-Vlaanderen,flanders,"c(2.838278, 50.758111)",p7b_2025-08-25_2025-08-26,2025
2941-1,p12e,2024-08-19T00:00:00Z,2024-08-20T00:00:00Z,SDSF_4,Xenlae,adult,82,10.5,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-08-19_2024-08-20,2024
3689-1,p12e,2025-07-02T00:00:00Z,2025-07-03T00:00:00Z,SDSF_2,Xenlae,adult,92,10.5,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-02_2025-07-03,2025
4022-1,p9c,2025-09-15T00:00:00Z,2025-09-17T00:00:00Z,SDSF_1,Xenlae,adult,106,10.5,F,alive,no,Xenopus laevis,5217334,,50.755472,2.885806,Mesen,West-Vlaanderen,wallonia,"c(2.885806, 50.755472)",p9c_2025-09-15_2025-09-17,2025
2294-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,adult,105,10.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
3231-1,p12e,2024-10-30T00:00:00Z,2024-10-31T00:00:00Z,SDSF_3,Xenlae,adult,101,10.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-10-30_2024-10-31,2024
3788-1,p7b,2025-08-25T00:00:00Z,2025-08-26T00:00:00Z,SDSF_2,Xenlae,adult,100,10.4,F,alive,no,Xenopus laevis,5217334,,50.758111,2.838278,Heuvelland,West-Vlaanderen,flanders,"c(2.838278, 50.758111)",p7b_2025-08-25_2025-08-26,2025
3935-1,p12e,2025-09-03T00:00:00Z,2025-09-04T00:00:00Z,SDSF_4,Xenlae,adult,91,10.3,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-09-03_2025-09-04,2025
3739-1,p12e,2025-07-23T00:00:00Z,2025-07-24T00:00:00Z,SDSF_4,Xenlae,adult,87,10.2,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-23_2025-07-24,2025
3932-1,p12e,2025-09-03T00:00:00Z,2025-09-04T00:00:00Z,SDSF_1,Xenlae,adult,80,10.2,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-09-03_2025-09-04,2025
3730-1,p12e,2025-07-22T00:00:00Z,2025-07-23T00:00:00Z,SDSF_4,Xenlae,adult,79,10.1,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-22_2025-07-23,2025
2591-1,p9e,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_2,Xenlae,adult,93,10.1,F,alive,no,Xenopus laevis,5217334,,50.754028,2.890472,Mesen,West-Vlaanderen,flanders,"c(2.890472, 50.754028)",p9e_2024-08-06_2024-08-07,2024
2125-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,90,10,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
3687-1,p12e,2025-07-02T00:00:00Z,2025-07-03T00:00:00Z,SDSF_1,Xenlae,adult,99,10,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-02_2025-07-03,2025
2559-1,p12e,2024-08-01T00:00:00Z,2024-08-02T00:00:00Z,SDSF_2,Xenlae,adult,81,9.9,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-08-01_2024-08-02,2024
3726-1,p12e,2025-07-22T00:00:00Z,2025-07-23T00:00:00Z,SDSF_2,Xenlae,adult,86,9.9,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-22_2025-07-23,2025
3774-1,p6c,2025-08-25T00:00:00Z,2025-08-26T00:00:00Z,SDSF_1,Xenlae,adult,85,9.9,F,alive,no,Xenopus laevis,5217334,,50.759277,2.856115,Heuvelland,West-Vlaanderen,flanders,"c(2.856115, 50.759277)",p6c_2025-08-25_2025-08-26,2025
3086-1,Douve_19,2024-08-26T00:00:00Z,2024-08-29T00:00:00Z,FF_28,Xenlae,adult,84,9.8,F,dead,no,Xenopus laevis,5217334,,50.753667,2.889444,Komen-Waasten,Henegouwen,wallonia,"c(2.889444, 50.753667)",Douve_19_2024-08-26_2024-08-29,2024
67-1,Fish passage,2024-04-03T00:00:00Z,2024-04-05T00:00:00Z,SDSF_1,Xenlae,adult,132,9.8,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-04-03_2024-04-05,2024
