srt,locationID,date_setup,date_retrieval,fyke_nr,species_code,lifeStage,biomass_g,svl_cm,sex,state,albino,species,nubKey,surface,lat_Y,long_X,gemeente,provincie,gewest,geometry,eventID,Jaar
2725-1,p42b,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_1,Xenlae,adult,167,13.6,F,alive,no,Xenopus laevis,5217334,,50.773444,2.765528,Heuvelland,West-Vlaanderen,flanders,"c(2.765528, 50.773444)",p42b_2024-08-06_2024-08-07,2024
1047-1,Fish passage,2024-05-22T00:00:00Z,2024-05-23T00:00:00Z,SDSF_1,Xenlae,adult,200,13.4,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-22_2024-05-23,2024
2217-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_1,Xenlae,adult,229,13.2,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
3891-1,p10a,2025-09-01T00:00:00Z,2025-09-02T00:00:00Z,SDSF_4,Xenlae,adult,161,13.2,F,alive,no,Xenopus laevis,5217334,,50.760791,2.874245,Mesen,West-Vlaanderen,flanders,"c(2.874245, 50.760791)",p10a_2025-09-01_2025-09-02,2025
592-1,p41a,2024-05-07T00:00:00Z,2024-05-08T00:00:00Z,SDSF_6a,Xenlae,adult,158,12.9,F,alive,no,Xenopus laevis,5217334,,50.768028,2.770806,Heuvelland,West-Vlaanderen,flanders,"c(2.770806, 50.768028)",p41a_2024-05-07_2024-05-08,2024
800-1,Fish passage,2024-05-21T00:00:00Z,2024-05-22T00:00:00Z,SDSF_1,Xenlae,adult,211,12.8,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-21_2024-05-22,2024
4004-1,p9c,2025-09-15T00:00:00Z,2025-09-16T00:00:00Z,SDSF_4,Xenlae,adult,189,12.8,F,alive,no,Xenopus laevis,5217334,,50.755472,2.885806,Mesen,West-Vlaanderen,wallonia,"c(2.885806, 50.755472)",p9c_2025-09-15_2025-09-16,2025
822-1,Fish passage,2024-05-21T00:00:00Z,2024-05-22T00:00:00Z,SDSF_2,Xenlae,adult,199,12.6,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-21_2024-05-22,2024
2293-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,adult,183,12.6,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
603-1,Fish passage,2024-05-07T00:00:00Z,2024-05-08T00:00:00Z,SDSF_3,Xenlae,adult,171,12.5,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-07_2024-05-08,2024
2255-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_3,Xenlae,adult,163,12.5,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
3671-1,p12e,2025-06-10T00:00:00Z,2025-06-11T00:00:00Z,SDSF_4,Xenlae,adult,123,12.5,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-06-10_2025-06-11,2025
621-1,p12e,2024-05-07T00:00:00Z,2024-05-08T00:00:00Z,FF_1-17,Xenlae,adult,189,12.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-05-07_2024-05-08,2024
4316-1,p18c,2025-09-29T00:00:00Z,2025-09-30T00:00:00Z,SDSF_1,Xenlae,adult,144,12.4,F,alive,no,Xenopus laevis,5217334,,50.769927,2.879769,Heuvelland,West-Vlaanderen,flanders,"c(2.879769, 50.769927)",p18c_2025-09-29_2025-09-30,2025
2589-1,p9e,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_2,Xenlae,adult,141,12.4,F,alive,no,Xenopus laevis,5217334,,50.754028,2.890472,Mesen,West-Vlaanderen,flanders,"c(2.890472, 50.754028)",p9e_2024-08-06_2024-08-07,2024
602-1,Fish passage,2024-05-07T00:00:00Z,2024-05-08T00:00:00Z,SDSF_2,Xenlae,adult,186,12.3,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-07_2024-05-08,2024
1038-1,Fish passage,2024-05-22T00:00:00Z,2024-05-23T00:00:00Z,FF_1-15,Xenlae,adult,152,12.3,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-05-22_2024-05-23,2024
2470-1,Fish passage,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,171,12.3,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-31_2024-08-01,2024
2587-1,p9e,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_2,Xenlae,adult,182,12.2,F,alive,no,Xenopus laevis,5217334,,50.754028,2.890472,Mesen,West-Vlaanderen,flanders,"c(2.890472, 50.754028)",p9e_2024-08-06_2024-08-07,2024
