id,fr
België_title,Belgique
brussels_title,Région de Bruxelles-Capitale
flanders_title,Flandre
wallonia_title,Wallonie
Namen_title,Namur
Oost-Vlaanderen_title,Flandre-Orientale
Waals-Brabant_title,Brabant wallon
Limburg_title,Limbourg
Henegouwen_title,Hainaut
Luxemburg_title,Luxembourg
Antwerpen_title,Anvers
Luik_title,Liège
HoofdstedelijkGewest_title,Région de la capitale
Vlaams-Brabant_title,Brabant flamand
West-Vlaanderen_title,Flandre-Occidentale
Aartselaar_title,NA
Boechout_title,NA
Boom_title,NA
Borsbeek_title,NA
Brasschaat_title,NA
Brecht_title,NA
Edegem_title,NA
Essen_title,NA
Hemiksem_title,NA
Hove_title,Hoves
Kalmthout_title,NA
Kapellen_title,NA
Kontich_title,NA
Lint_title,NA
Mortsel_title,NA
Niel_title,NA
Ranst_title,NA
Rumst_title,NA
Schelle_title,NA
Schilde_title,NA
Schoten_title,NA
Stabroek_title,NA
Wijnegem_title,NA
Wommelgem_title,NA
Wuustwezel_title,NA
Zandhoven_title,NA
Zoersel_title,NA
Zwijndrecht_title,NA
Malle_title,NA
Berlaar_title,NA
Bonheiden_title,NA
Bornem_title,NA
Duffel_title,NA
Heist-Op-Den-Berg_title,NA
Lier_title,Lierre
Mechelen_title,Malines
Nijlen_title,NA
Putte_title,NA
Puurs_title,NA
Sint-Amands_title,Saint-Amand
Sint-Katelijne-Waver_title,Wavre-Sainte-Cathérine
Willebroek_title,NA
Arendonk_title,NA
Baarle-Hertog_title,Baerle-Duc
Balen_title,Baelen
Beerse_title,NA
Dessel_title,NA
Geel_title,NA
Grobbendonk_title,NA
Herentals_title,NA
Herenthout_title,NA
Herselt_title,NA
Hoogstraten_title,NA
Hulshout_title,NA
Kasterlee_title,NA
Lille_title,NA
Meerhout_title,NA
Merksplas_title,NA
Mol_title,NA
Olen_title,NA
Oud-Turnhout_title,NA
Ravels_title,NA
Retie_title,NA
Rijkevorsel_title,NA
Turnhout_title,NA
Vorselaar_title,NA
Vosselaar_title,NA
Westerlo_title,NA
Laakdal_title,NA
Anderlecht_title,NA
Oudergem_title,Auderghem
Sint-Agatha-Berchem_title,Berchem-Sainte-Agathe
Brussel_title,Bruxelles
Etterbeek_title,NA
Evere_title,NA
Vorst_title,Forest
Ganshoren_title,NA
Elsene_title,Ixelles
Jette_title,NA
Koekelberg_title,NA
Sint-Jans-Molenbeek_title,Molenbeek-Saint-Jean
Sint-Gillis_title,Saint-Gilles
Sint-Joost-Ten-Node_title,Saint-Josse-ten-Noode
Schaarbeek_title,Schaerbeek
Ukkel_title,Uccle
Watermaal-Bosvoorde_title,Watermael-Boitsfort
Sint-Lambrechts-Woluwe_title,Woluwe-Saint-Lambert
Sint-Pieters-Woluwe_title,Woluwe-Saint-Pierre
Asse_title,NA
Beersel_title,NA
Bever_title,Biévène
Dilbeek_title,NA
Galmaarden_title,Gammerages
Gooik_title,NA
Grimbergen_title,NA
Hal_title,NA
Herne_title,NA
Hoeilaart_title,NA
Kampenhout_title,NA
Kapelle-Op-Den-Bos_title,Capelle-au-Bois
Liedekerke_title,NA
Londerzeel_title,NA
Machelen_title,NA
Meise_title,NA
Merchtem_title,NA
Opwijk_title,NA
Overijse_title,NA
Pepingen_title,NA
Sint-Pieters-Leeuw_title,Leeuw-Saint-Pierre
Steenokkerzeel_title,NA
Ternat_title,NA
Vilvoorde_title,Vilvorde
Zaventem_title,NA
Zemst_title,NA
Roosdaal_title,NA
Drogenbos_title,NA
Kraainem_title,NA
Linkebeek_title,NA
Sint-Genesius-Rode_title,Rhode-Saint-Genèse
Wemmel_title,NA
Wezembeek-Oppem_title,NA
Lennik_title,NA
Affligem_title,NA
Aarschot_title,NA
Begijnendijk_title,NA
Bekkevoort_title,NA
Bertem_title,NA
Bierbeek_title,NA
Boortmeerbeek_title,NA
Boutersem_title,NA
Diest_title,NA
Geetbets_title,NA
Haacht_title,NA
Herent_title,NA
Hoegaarden_title,NA
Holsbeek_title,NA
Huldenberg_title,NA
Keerbergen_title,NA
Kortenaken_title,NA
Kortenberg_title,NA
Landen_title,NA
Leuven_title,Louvain
Lubbeek_title,NA
Oud-Heverlee_title,NA
Rotselaar_title,NA
Tervuren_title,NA
Tienen_title,Tirlemont
Tremelo_title,NA
Zoutleeuw_title,Léau
Linter_title,NA
Scherpenheuvel-Zichem_title,Montaigu-Zichem
Tielt-Winge_title,NA
Glabbeek_title,NA
Bevekom_title,Beauvechin
Eigenbrakel_title,Braine-l'Alleud
Kasteelbrakel_title,Braine-le-Château
Chaumont-Gistoux_title,NA
Court-Saint-Etienne_title,NA
Genepien_title,Genappe
Graven_title,Grez-Doiceau
Incourt_title,NA
Itter_title,Ittre
Geldenaken_title,Jodoigne
Terhulpen_title,La Hulpe
Mont-Saint-Guibert_title,NA
Nijvel_title,Nivelles
Perwijs_title,Perwez
Rixensart_title,NA
Tubeke_title,Tubize
Villers-La-Ville_title,NA
Waterloo_title,NA
Waver_title,Wavre
Chastre_title,NA
Helecine_title,NA
Lasne_title,NA
Orp-Jauche_title,NA
Ottignies-Louvain-La-Neu_title,NA
Ramillies_title,NA
Rebecq_title,NA
Walhain_title,NA
Beernem_title,NA
Blankenberge_title,NA
Brugge_title,Bruges
Damme_title,NA
Jabbeke_title,NA
Oostkamp_title,NA
Torhout_title,NA
Zedelgem_title,NA
Zuienkerke_title,NA
Knokke-Heist_title,NA
Diksmuide_title,Dixmude
Houthulst_title,NA
Koekelare_title,NA
Kortemark_title,NA
Lo-Reninge_title,NA
Ieper_title,Ypres
Mesen_title,Messines
Poperinge_title,NA
Wervik_title,NA
Zonnebeke_title,NA
Heuvelland_title,NA
Langemark-Poelkapelle_title,NA
Vleteren_title,NA
Anzegem_title,NA
Avelgem_title,NA
Deerlijk_title,NA
Harelbeke_title,NA
Kortrijk_title,Courtrai
Kuurne_title,NA
Lendelede_title,NA
Menen_title,Menin
Waregem_title,NA
Wevelgem_title,NA
Zwevegem_title,NA
Spiere-Helkijn_title,Espierres-Helchin
Bredene_title,NA
Gistel_title,NA
Ichtegem_title,NA
Middelkerke_title,NA
Oostende_title,Ostende
Oudenburg_title,NA
De Haan_title,NA
Hooglede_title,NA
Ingelmunster_title,NA
