gbifID,year,individualCount,lifeStage,eventID,locationID,NISCODE,gemeente,provincie,verbatimLocality,locality,n_fuiken,gewest
1,2011,0,adult,01-06-2011_driehoek,48fb261c-3f3a-4a95-9103-1e6822dae999,13014,Hoogstraten,Antwerpen,NA,NA,3,flanders
2,2011,0,juvenile,01-06-2011_driehoek,48fb261c-3f3a-4a95-9103-1e6822dae999,13014,Hoogstraten,Antwerpen,NA,NA,3,flanders
3,2011,16,larvae,01-06-2011_driehoek,48fb261c-3f3a-4a95-9103-1e6822dae999,13014,Hoogstraten,Antwerpen,NA,NA,3,flanders
4,2012,5,adult,01-06-2012_driehoek,48fb261c-3f3a-4a95-9103-1e6822dae999,13014,Hoogstraten,Antwerpen,NA,NA,6,flanders
5,2012,0,juvenile,01-06-2012_driehoek,48fb261c-3f3a-4a95-9103-1e6822dae999,13014,Hoogstraten,Antwerpen,NA,NA,6,flanders
6,2012,3,larvae,01-06-2012_driehoek,48fb261c-3f3a-4a95-9103-1e6822dae999,13014,Hoogstraten,Antwerpen,NA,NA,6,flanders
7,2017,1,adult,01-06-2017_nijlen b9,abd1f412-8e63-4eae-bf83-afa3f0d03b33,12026,Nijlen,Antwerpen,NA,NA,1,flanders
8,2017,0,juvenile,01-06-2017_nijlen b9,abd1f412-8e63-4eae-bf83-afa3f0d03b33,12026,Nijlen,Antwerpen,NA,NA,1,flanders
9,2017,0,larvae,01-06-2017_nijlen b9,abd1f412-8e63-4eae-bf83-afa3f0d03b33,12026,Nijlen,Antwerpen,NA,NA,1,flanders
10,2017,0,adult,01-06-2017_scheps 6,3f097ed2-a6e2-4db8-ab6d-eb411d610792,13003,Balen,Antwerpen,NA,NA,6,flanders
11,2017,0,juvenile,01-06-2017_scheps 6,3f097ed2-a6e2-4db8-ab6d-eb411d610792,13003,Balen,Antwerpen,NA,NA,6,flanders
12,2017,151,larvae,01-06-2017_scheps 6,3f097ed2-a6e2-4db8-ab6d-eb411d610792,13003,Balen,Antwerpen,NA,NA,6,flanders
13,2017,0,adult,01-06-2017_scheps 8,909d4ce7-901a-499c-b993-242731897f23,13003,Balen,Antwerpen,scheps 8,scheps 8,3,flanders
14,2017,0,juvenile,01-06-2017_scheps 8,909d4ce7-901a-499c-b993-242731897f23,13003,Balen,Antwerpen,scheps 8,scheps 8,3,flanders
15,2017,0,larvae,01-06-2017_scheps 8,909d4ce7-901a-499c-b993-242731897f23,13003,Balen,Antwerpen,scheps 8,scheps 8,3,flanders
16,2017,0,adult,01-06-2017_scheps 8,909d4ce7-901a-499c-b993-242731897f23,13003,Balen,Antwerpen,NA,NA,2,flanders
17,2017,0,juvenile,01-06-2017_scheps 8,909d4ce7-901a-499c-b993-242731897f23,13003,Balen,Antwerpen,NA,NA,2,flanders
18,2017,2,larvae,01-06-2017_scheps 8,909d4ce7-901a-499c-b993-242731897f23,13003,Balen,Antwerpen,NA,NA,2,flanders
19,2021,7,adult,01-06-2021_griesbroek 6,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,griesbroek 6,griesbroek 6,8,flanders
20,2021,0,juvenile,01-06-2021_griesbroek 6,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,griesbroek 6,griesbroek 6,8,flanders
21,2021,82,larvae,01-06-2021_griesbroek 6,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,griesbroek 6,griesbroek 6,8,flanders
22,2021,7,adult,01-06-2021_laakdal 41,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,laakdal 41,laakdal 41,12,flanders
23,2021,3,juvenile,01-06-2021_laakdal 41,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,laakdal 41,laakdal 41,12,flanders
24,2021,2051,larvae,01-06-2021_laakdal 41,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,laakdal 41,laakdal 41,12,flanders
25,2021,2,adult,01-06-2021_laakdal 6,e02a0538-0a5c-4bf6-9af8-8bea79186857,13053,Laakdal,Antwerpen,laakdal 6,laakdal 6,10,flanders
26,2021,6,juvenile,01-06-2021_laakdal 6,e02a0538-0a5c-4bf6-9af8-8bea79186857,13053,Laakdal,Antwerpen,laakdal 6,laakdal 6,10,flanders
27,2021,0,larvae,01-06-2021_laakdal 6,e02a0538-0a5c-4bf6-9af8-8bea79186857,13053,Laakdal,Antwerpen,laakdal 6,laakdal 6,10,flanders
28,2022,5,adult,01-06-2022_laakdal 6,e02a0538-0a5c-4bf6-9af8-8bea79186857,13053,Laakdal,Antwerpen,laakdal 6,laakdal 6,10,flanders
29,2022,2,juvenile,01-06-2022_laakdal 6,e02a0538-0a5c-4bf6-9af8-8bea79186857,13053,Laakdal,Antwerpen,laakdal 6,laakdal 6,10,flanders
30,2022,0,larvae,01-06-2022_laakdal 6,e02a0538-0a5c-4bf6-9af8-8bea79186857,13053,Laakdal,Antwerpen,laakdal 6,laakdal 6,10,flanders
31,2022,1,adult,01-06-2022_meerhout 13,8731AF96-CC5E-44B2-A8E8-AF9AC37F7E76,13008,Geel,Antwerpen,meerhout 13,meerhout 13,2,flanders
32,2022,0,juvenile,01-06-2022_meerhout 13,8731AF96-CC5E-44B2-A8E8-AF9AC37F7E76,13008,Geel,Antwerpen,meerhout 13,meerhout 13,2,flanders
33,2022,38,larvae,01-06-2022_meerhout 13,8731AF96-CC5E-44B2-A8E8-AF9AC37F7E76,13008,Geel,Antwerpen,meerhout 13,meerhout 13,2,flanders
34,2022,6,adult,01-06-2022_scheps 35,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,scheps 35,scheps 35,16,flanders
35,2022,2,juvenile,01-06-2022_scheps 35,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,scheps 35,scheps 35,16,flanders
36,2022,385,larvae,01-06-2022_scheps 35,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,scheps 35,scheps 35,16,flanders
37,2023,25,adult,01-06-2023_griesbroek 6,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,griesbroek 6,griesbroek 6,4,flanders
38,2023,14,juvenile,01-06-2023_griesbroek 6,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,griesbroek 6,griesbroek 6,4,flanders
39,2023,11,larvae,01-06-2023_griesbroek 6,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,griesbroek 6,griesbroek 6,4,flanders
40,2023,2,adult,01-06-2023_laakdal 41,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,laakdal 41,laakdal 41,20,flanders
41,2023,0,juvenile,01-06-2023_laakdal 41,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,laakdal 41,laakdal 41,20,flanders
42,2023,615,larvae,01-06-2023_laakdal 41,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,laakdal 41,laakdal 41,20,flanders
43,2023,1,adult,01-06-2023_nijlen b10,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,nijlen b10,nijlen b10,1,flanders
44,2023,0,juvenile,01-06-2023_nijlen b10,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,nijlen b10,nijlen b10,1,flanders
45,2023,18,larvae,01-06-2023_nijlen b10,554e3c11-e529-4b0b-a162-714c72d3547e,12026,Nijlen,Antwerpen,nijlen b10,nijlen b10,1,flanders
46,2023,0,adult,01-06-2023_nijlen b11,602c47a6-7c4a-46b9-b481-921731880571,12026,Nijlen,Antwerpen,nijlen b11,nijlen b11,1,flanders
47,2023,0,juvenile,01-06-2023_nijlen b11,602c47a6-7c4a-46b9-b481-921731880571,12026,Nijlen,Antwerpen,nijlen b11,nijlen b11,1,flanders
48,2023,0,larvae,01-06-2023_nijlen b11,602c47a6-7c4a-46b9-b481-921731880571,12026,Nijlen,Antwerpen,nijlen b11,nijlen b11,1,flanders
49,2023,0,adult,01-06-2023_nijlen b13,54ce2446-f7e8-4a59-9680-f5a72eb40fc7,12026,Nijlen,Antwerpen,nijlen b13,nijlen b13,1,flanders
50,2023,0,juvenile,01-06-2023_nijlen b13,54ce2446-f7e8-4a59-9680-f5a72eb40fc7,12026,Nijlen,Antwerpen,nijlen b13,nijlen b13,1,flanders
51,2023,0,larvae,01-06-2023_nijlen b13,54ce2446-f7e8-4a59-9680-f5a72eb40fc7,12026,Nijlen,Antwerpen,nijlen b13,nijlen b13,1,flanders
52,2023,0,adult,01-06-2023_nijlen b5,02d79285-1ed2-44b9-84d5-96cd0b55f479,12026,Nijlen,Antwerpen,nijlen b5,nijlen b5,2,flanders
53,2023,0,juvenile,01-06-2023_nijlen b5,02d79285-1ed2-44b9-84d5-96cd0b55f479,12026,Nijlen,Antwerpen,nijlen b5,nijlen b5,2,flanders
54,2023,0,larvae,01-06-2023_nijlen b5,02d79285-1ed2-44b9-84d5-96cd0b55f479,12026,Nijlen,Antwerpen,nijlen b5,nijlen b5,2,flanders
55,2023,0,adult,01-06-2023_nijlen b6,7bfeea33-87a3-4896-b2e4-a2f6b8d951a9,12026,Nijlen,Antwerpen,nijlen b6,nijlen b6,1,flanders
