eventID,locationID,lat_Y,long_X,lifeStage,year,species,gemeente,provincie,gewest,individualCount,n_fuiken
Douve_19_2024-07-11_2024-07-12,Douve_19,50.753667,2.889444,subadult,2024,Xenopus laevis,Komen-Waasten,Henegouwen,wallonia,1,1
Douve_19_2024-08-26_2024-08-29,Douve_19,50.753667,2.889444,adult,2024,Xenopus laevis,Komen-Waasten,Henegouwen,wallonia,1,6
Douve_19_2024-08-26_2024-08-29,Douve_19,50.753667,2.889444,subadult,2024,Xenopus laevis,Komen-Waasten,Henegouwen,wallonia,2,6
Douve_1_2024-05-28_2024-05-29,Douve_1,50.757194,2.922556,subadult,2024,Xenopus laevis,Komen-Waasten,Henegouwen,wallonia,1,1
Douve_4_2024-07-11_2024-07-12,Douve_4,50.757028,2.921944,subadult,2024,Xenopus laevis,Mesen,Henegouwen,flanders,1,1
Douve_6_2024-08-26_2024-08-29,Douve_6,50.756972,2.921111,subadult,2024,Xenopus laevis,Mesen,West-Vlaanderen,flanders,1,6
Douve_9_2024-07-11_2024-07-12,Douve_9,50.755333,2.913194,juvenile,2024,Xenopus laevis,Komen-Waasten,Henegouwen,wallonia,1,2
Fish_passage_2024-04-03_2024-04-05,Fish passage,50.758028,2.855222,adult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,18,12
Fish_passage_2024-04-03_2024-04-05,Fish passage,50.758028,2.855222,juvenile,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,23,12
Fish_passage_2024-04-03_2024-04-05,Fish passage,50.758028,2.855222,subadult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,7,12
Fish_passage_2024-05-06_2024-05-07,Fish passage,50.758028,2.855222,adult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,1,3
Fish_passage_2024-05-06_2024-05-07,Fish passage,50.758028,2.855222,juvenile,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,1,3
Fish_passage_2024-05-06_2024-05-07,Fish passage,50.758028,2.855222,subadult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,1,3
Fish_passage_2024-05-07_2024-05-08,Fish passage,50.758028,2.855222,adult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,2,4
Fish_passage_2024-05-07_2024-05-08,Fish passage,50.758028,2.855222,juvenile,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,2,4
Fish_passage_2024-05-21_2024-05-22,Fish passage,50.758028,2.855222,adult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,15,4
Fish_passage_2024-05-21_2024-05-22,Fish passage,50.758028,2.855222,juvenile,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,11,4
Fish_passage_2024-05-21_2024-05-22,Fish passage,50.758028,2.855222,subadult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,15,4
Fish_passage_2024-05-22_2024-05-23,Fish passage,50.758028,2.855222,adult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,3,4
Fish_passage_2024-05-22_2024-05-23,Fish passage,50.758028,2.855222,juvenile,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,1,4
Fish_passage_2024-05-22_2024-05-23,Fish passage,50.758028,2.855222,subadult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,1,4
Fish_passage_2024-07-09_2024-07-10,Fish passage,50.758028,2.855222,adult,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,16,4
Fish_passage_2024-07-09_2024-07-10,Fish passage,50.758028,2.855222,juvenile,2024,Xenopus laevis,Heuvelland,West-Vlaanderen,flanders,12,4
